gene_id,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,GO,Uniprot,chr
tG(UCC)Q,tG(UCC)Q,NC_001224.1,,67468,67542,+,tRNA-Gly,No COG annotation,,,MT
tH(GUG)Q,tH(GUG)Q,NC_001224.1,,64596,64670,+,tRNA-His,No COG annotation,,,MT
tI(GAU)Q,tI(GAU)Q,NC_001224.1,,70162,70237,+,tRNA-Ile,No COG annotation,,,MT
tK(UUU)Q,tK(UUU)Q,NC_001224.1,,67061,67134,+,tRNA-Lys,No COG annotation,,,MT
tL(UAA)Q,tL(UAA)Q,NC_001224.1,,66095,66179,+,tRNA-Leu,No COG annotation,,,MT
tM(CAU)Q1,tM(CAU)Q1,NC_001224.1,,72630,72705,+,tRNA-Met,No COG annotation,,,MT
tM(CAU)Q2,tM(CAU)Q2,NC_001224.1,,85035,85112,+,tRNA-Met,No COG annotation,,,MT
tN(GUU)Q,tN(GUU)Q,NC_001224.1,,71433,71503,+,tRNA-Asn,No COG annotation,,,MT
tP(UGG)Q,tP(UGG)Q,NC_001224.1,,731,802,+,tRNA-Pro,No COG annotation,,,MT
tQ(UUG)Q,tQ(UUG)Q,NC_001224.1,,66210,66285,+,tRNA-Gln,No COG annotation,,,MT
tR(ACG)Q2,tR(ACG)Q2,NC_001224.1,,69289,69362,+,tRNA-Arg,No COG annotation,,,MT
tR(UCU)Q1,tR(UCU)Q1,NC_001224.1,,67309,67381,+,tRNA-Arg,No COG annotation,,,MT
tS(GCU)Q1,tS(GCU)Q1,NC_001224.1,,69203,69288,+,tRNA-Ser,No COG annotation,,,MT
tS(UGA)Q2,tS(UGA)Q2,NC_001224.1,,48201,48290,+,tRNA-Ser,No COG annotation,,,MT
tT(UAG)Q2,tT(UAG)Q2,NC_001224.1,,78089,78162,-,tRNA-Thr,No COG annotation,,,MT
tT(UGU)Q1,tT(UGU)Q1,NC_001224.1,,63862,63937,+,tRNA-Thr,No COG annotation,,,MT
tV(UAC)Q,tV(UAC)Q,NC_001224.1,,78533,78608,+,tRNA-Val,No COG annotation,,,MT
tW(UCA)Q,tW(UCA)Q,NC_001224.1,,9374,9447,+,tRNA-Trp,No COG annotation,,,MT
tY(GUA)Q,tY(GUA)Q,NC_001224.1,,70824,70907,+,tRNA-Tyr,No COG annotation,,,MT
YAL001C,TFC3,NC_001133.9,,147594,151166,-,transcription factor TFIIIC subunit TFC3,No COG annotation,"transcription by RNA polymerase III,transcription by RNA polymerase III,transcription by RNA polymerase III,5S class rRNA transcription by RNA polymerase III,5S class rRNA transcription by RNA polymerase III,RNA polymerase III type 1 promoter sequence-specific DNA binding,RNA polymerase III type 1 promoter sequence-specific DNA binding,protein localization to chromatin,transcription factor TFIIIC complex,transcription factor TFIIIC complex,transcription factor TFIIIC complex,transcription factor TFIIIC complex,mitochondrion,mitochondrion,transcription factor TFIIIC complex,transcription initiation at RNA polymerase III promoter,nucleus,mitochondrion,mitochondrion,DNA binding,DNA binding,nucleus,RNA polymerase III type 2 promoter sequence-specific DNA binding,DNA binding, bending,5S class rRNA transcription by RNA polymerase III,transcription initiation at RNA polymerase III promoter,transcription factor TFIIIC complex",P34111,I
YAL002W,VPS8,NC_001133.9,,143707,147531,+,CORVET complex membrane-binding subunit VPS8,"Intracellular trafficking, secretion, and vesicular transport","protein targeting to vacuole,protein-membrane adaptor activity,GTPase binding,GTPase binding,protein targeting to vacuole,late endosome to vacuole transport via multivesicular body sorting pathway,late endosome,membrane,CORVET complex,bounding membrane of organelle,Golgi apparatus,Golgi stack,intracellular protein transport,vesicle-mediated transport,metal ion binding,zinc ion binding,protein transport,localization,endosome,vesicle tethering complex,protein targeting to vacuole,HOPS complex,late endosome,endosomal vesicle fusion",P39702,I
YAL003W,EFB1,NC_001133.9,,142174,143160,+,translation elongation factor 1 subunit beta,No COG annotation,"regulation of translational termination,regulation of translational termination,maintenance of translational fidelity,translational elongation,negative regulation of actin filament bundle assembly,eukaryotic translation elongation factor 1 complex,cytoplasm,translation elongation factor activity,translation,translational elongation,translation elongation factor activity,translation elongation factor activity,translational elongation,translational elongation,eukaryotic translation elongation factor 1 complex,translational elongation,guanyl-nucleotide exchange factor activity,guanyl-nucleotide exchange factor activity,cytosol,translational elongation",P32471,I
YAL005C,SSA1,NC_001133.9,,139503,141431,-,Hsp70 family ATPase SSA1,"Post-translational modification, protein turnover, and chaperones","mitochondria-associated ubiquitin-dependent protein catabolic process,tRNA binding,ATP hydrolysis activity,unfolded protein binding,protein polyubiquitination,cytoplasmic translation,protein folding,SRP-dependent cotranslational protein targeting to membrane, translocation,protein targeting to mitochondrion,stress granule disassembly,protein refolding,protein refolding,proteasome-mediated ubiquitin-dependent protein catabolic process,proteasome-mediated ubiquitin-dependent protein catabolic process,clathrin coat disassembly,fungal-type vacuole membrane,nucleus,cytoplasm,polysome,fungal-type cell wall,nucleotide binding,ATP binding,extracellular region,cytoplasm,cytoplasm,nucleus,cytosol,plasma membrane,ATP binding,protein import into nucleus,ATP-dependent protein folding chaperone,ATP hydrolysis activity,protein import into nucleus,cytoplasm,cytosol,protein folding chaperone,nucleus,heat shock protein binding,chaperone cofactor-dependent protein refolding,SRP-dependent cotranslational protein targeting to membrane, translocation,plasma membrane,ATP hydrolysis activity,protein refolding,cytoplasm",P10591,I
YAL007C,ERP2,NC_001133.9,,137698,138345,-,Erp2p,"Intracellular trafficking, secretion, and vesicular transport","molecular_function,COPII-coated ER to Golgi transport vesicle,protein retention in ER lumen,endoplasmic reticulum to Golgi vesicle-mediated transport,endoplasmic reticulum to Golgi vesicle-mediated transport,endoplasmic reticulum,protein transport,vesicle-mediated transport,endoplasmic reticulum,endoplasmic reticulum membrane,membrane,COPII-coated ER to Golgi transport vesicle,protein retention in ER lumen,intracellular protein transport,Golgi organization,endoplasmic reticulum,endoplasmic reticulum-Golgi intermediate compartment,Golgi apparatus,endoplasmic reticulum to Golgi vesicle-mediated transport",P39704,I
YAL008W,FUN14,NC_001133.9,,136914,137510,+,Fun14p,No COG annotation,"mitochondrial outer membrane,molecular_function,mitochondrion organization,phospholipid homeostasis,mitochondrion,mitochondrion,mitochondrial outer membrane,membrane,membrane,mitochondrion,mitochondrion,autophagy of mitochondrion",P18411,I
YAL009W,SPO7,NC_001133.9,,135854,136633,+,Nem1-Spo7 phosphatase regulatory subunit SPO7,Function unknown,"membrane,Nem1-Spo7 phosphatase complex,phosphoprotein phosphatase activity,negative regulation of phospholipid biosynthetic process,endoplasmic reticulum,lipid metabolic process,sporulation resulting in formation of a cellular spore,nucleus,endoplasmic reticulum,membrane,nuclear membrane,endoplasmic reticulum membrane,protein phosphatase regulator activity,phosphoprotein phosphatase activity,nuclear envelope organization,reticulophagy,regulation of phospholipid biosynthetic process,phosphoprotein phosphatase activity,nuclear envelope organization,Nem1-Spo7 phosphatase complex",P18410,I
YAL010C,MDM10,NC_001133.9,,134184,135665,-,Mdm10p,"Intracellular trafficking, secretion, and vesicular transport","mitochondrion organization,establishment of mitochondrion localization,mitochondrial outer membrane translocase complex assembly,mitochondrial outer membrane translocase complex assembly,molecular_function,phospholipid transport,protein insertion into mitochondrial outer membrane,mitochondrial outer membrane translocase complex assembly,mitochondrion-endoplasmic reticulum membrane tethering,SAM complex,SAM complex,SAM complex,ERMES complex,ERMES complex,ERMES complex,mitochondrial outer membrane,membrane,mitochondrial outer membrane,mitochondrion,ERMES complex,mitochondrion organization,mitochondrial genome maintenance,protein insertion into mitochondrial outer membrane,mitochondrial outer membrane translocase complex assembly,mitochondrion-endoplasmic reticulum membrane tethering,ERMES complex,peroxisome organization,mitochondrial outer membrane,mitochondrial outer membrane,establishment of mitochondrion localization,mitochondrial outer membrane translocase complex assembly,SAM complex,mitochondrion-endoplasmic reticulum membrane tethering,ERMES complex,protein insertion into mitochondrial outer membrane,phospholipid transport",P18409,I
YAL011W,SWC3,NC_001133.9,,132199,134076,+,Swc3p,Transcription,"Swr1 complex,Swr1 complex,molecular_function,chromatin remodeling,chromatin remodeling,endoplasmic reticulum organization,ATP-dependent H2AZ histone chaperone activity,chromatin organization,nucleus,nucleus,nucleus,mitochondrion,mitochondrion,Swr1 complex,chromatin remodeling,Swr1 complex",P31376,I
YAL012W,CYS3,NC_001133.9,,130799,131983,+,cystathionine gamma-lyase CYS3,Amino acid transport and metabolism,"cystathionine gamma-lyase activity,cystathionine gamma-lyase activity,cysteine biosynthetic process via cystathionine,cysteine biosynthetic process,transsulfuration,cysteine-S-conjugate beta-lyase activity,positive regulation of hydrogen sulfide biosynthetic process,cystathionine gamma-lyase activity,cysteine biosynthetic process,cysteine biosynthetic process,amino acid biosynthetic process,cytoplasm,cytoplasm,lyase activity,L-cysteine desulfhydrase activity,L-cystine L-cysteine-lyase (deaminating),cytoplasm,nucleus,cytoplasm,transsulfuration,catalytic activity,catalytic activity,pyridoxal phosphate binding,cystathionine gamma-lyase activity,cytoplasm,cysteine biosynthetic process via cystathionine,cystathionine gamma-lyase activity,transsulfuration,pyridoxal phosphate binding",P31373,I
YAL013W,DEP1,NC_001133.9,,129270,130487,+,Rpd3L histone deacetylase complex subunit DEP1,Transcription,"molecular_function,negative regulation of transcription by RNA polymerase II,negative regulation of transcription by RNA polymerase II,negative regulation of transcription by RNA polymerase II,negative regulation of transcription by RNA polymerase II,regulation of transcription by RNA polymerase II,regulation of transcription by RNA polymerase II,regulation of DNA-templated DNA replication initiation,positive regulation of transcription by RNA polymerase II,positive regulation of transcription by RNA polymerase II,positive regulation of transcription by RNA polymerase II,negative regulation of silent mating-type cassette heterochromatin formation,negative regulation of rDNA heterochromatin formation,Rpd3L complex,Rpd3L complex,Rpd3L complex,nucleoplasm,nucleus,nucleus,cytoplasm,cytoplasm,chromatin organization,Rpd3L complex,Rpd3L-Expanded complex,positive regulation of transcription by RNA polymerase II,positive regulation of transcription by RNA polymerase II,positive regulation of transcription by RNA polymerase II,negative regulation of transcription by RNA polymerase II,negative regulation of transcription by RNA polymerase II,negative regulation of transcription by RNA polymerase II,nucleus,mitochondrion,Sin3-type complex,histone deacetylation,negative regulation of transcription by RNA polymerase II,histone deacetylase binding",P31385,I
YAL014C,SYN8,NC_001133.9,,128252,129019,-,syntaxin,"Intracellular trafficking, secretion, and vesicular transport","SNAP receptor activity,endosome,SNAP receptor activity,cytoplasm,protein transport,endosome,endosome membrane,membrane,Golgi to vacuole transport,Golgi to vacuole transport,Golgi to vacuole transport,cytosol,vesicle-mediated transport,vesicle docking,intracellular protein transport,SNARE complex,SNAP receptor activity,endomembrane system,vesicle fusion,SNARE binding",P31377,I
YAL015C,NTG1,NC_001133.9,,126903,128102,-,bifunctional N-glycosylase/AP lyase NTG1,"Replication, recombination and repair","DNA-(apurinic or apyrimidinic site) endonuclease activity,base-excision repair,oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity,oxidized purine nucleobase lesion DNA N-glycosylase activity,DNA repair,base-excision repair, AP site formation,cellular response to oxidative stress,positive regulation of mitochondrial DNA replication,positive regulation of mitochondrial DNA replication,nucleus,nucleus,nucleus,mitochondrion,mitochondrion,oxidized base lesion DNA N-glycosylase activity,base-excision repair, AP site formation,hydrolase activity,hydrolase activity, acting on glycosyl bonds,lyase activity,DNA damage response,nucleus,nucleus,mitochondrion,mitochondrion,class I DNA-(apurinic or apyrimidinic site) endonuclease activity,metabolic process,mitochondrion,mitochondrion,oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity,DNA binding,base-excision repair, AP site formation,base-excision repair, AP site formation,nucleus,DNA N-glycosylase activity,DNA repair,DNA repair,DNA binding,catalytic activity,DNA-(apurinic or apyrimidinic site) endonuclease activity,mitochondrion,DNA-(apurinic or apyrimidinic site) endonuclease activity,mitochondrion,DNA repair,base-excision repair,nucleus,base-excision repair, AP site formation,nucleus,DNA-(apurinic or apyrimidinic site) endonuclease activity,oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity",P31378,I
YAL016W,TPD3,NC_001133.9,,124879,126786,+,protein phosphatase 2A structural subunit TPD3,Signal transduction mechanisms,"protein serine/threonine phosphatase activity,regulation of translation,mitotic spindle assembly checkpoint signaling,protein phosphatase type 2A complex,protein phosphatase type 2A complex,nucleus,cytoplasm,spindle pole body,cellular bud tip,cellular bud neck,mating projection tip,protein phosphatase type 2A complex,protein phosphatase regulator activity,protein dephosphorylation,cytoplasm",P31383,I
YAL017W,PSK1,NC_001133.9,,120225,124295,+,serine/threonine protein kinase PSK1,Signal transduction mechanisms,"protein serine/threonine kinase activity,negative regulation of glycogen biosynthetic process,regulation of (1->6)-beta-D-glucan biosynthetic process,cytoplasm,nucleotide binding,protein serine/threonine kinase activity,ATP binding,kinase activity,transferase activity,regulation of translation,cytoplasm,phosphorylation,cytoplasm,cytoplasm,protein kinase activity,ATP binding,protein kinase activity,protein kinase activity,protein phosphorylation,protein phosphorylation,protein serine/threonine kinase activity,protein phosphorylation,protein serine/threonine kinase activity,cytoplasm,negative regulation of glycogen biosynthetic process,cytosol,nucleus,intracellular signal transduction",P31374,I
YAL018C,LDS1,NC_001133.9,,118564,119541,-,Lds1p,Function unknown,"molecular_function,ascospore wall assembly,ascospore wall,prospore membrane,sporulation resulting in formation of a cellular spore,lipid droplet,prospore membrane,lipid droplet,membrane,spore wall,lipid droplet,prospore membrane,lipid droplet,ascospore wall",P31379,I
YAL019W,FUN30,NC_001133.9,,114919,118314,+,DNA-dependent ATPase FUN30,Chromatin structure and dynamics,"chromosome, centromeric region,DNA binding,chromatin binding,negative regulation of transcription by RNA polymerase II,rDNA heterochromatin formation,DNA double-strand break processing,DNA double-strand break processing,chromatin remodeling,silent mating-type cassette heterochromatin formation,subtelomeric heterochromatin formation,ATP-dependent chromatin remodeler activity,ATP-dependent chromatin remodeler activity,ATP-dependent chromatin remodeler activity,positive regulation of RNA splicing,chromosome, telomeric region,nucleotide binding,DNA binding,hydrolase activity,DNA repair,chromatin organization,DNA damage response,nucleus,nucleus,chromosome,chromosome,helicase activity,ATP binding,nucleus,nucleus,mitochondrion,mitochondrion,ATP binding,chromatin remodeling,mating-type region heterochromatin,ATP-dependent chromatin remodeler activity,chromatin remodeling,heterochromatin formation,nucleus,chromatin binding,ATP-dependent activity, acting on DNA,DNA binding",P31380,I
YAL020C,ATS1,NC_001133.9,,113614,114615,-,Ats1p,"Cell cycle control, cell division, chromosome partitioning","molecular_function,tRNA wobble uridine modification,cytoplasm,tRNA processing,cytoplasm,cytoplasm,ubiquitin-dependent protein catabolic process,ubiquitin protein ligase activity,protein ubiquitination,cytoplasm",P31386,I
YAL021C,CCR4,NC_001133.9,,110846,113359,-,CCR4-NOT core exoribonuclease subunit CCR4,Transcription,"3'-5'-RNA exonuclease activity,3'-5'-RNA exonuclease activity,3'-5'-RNA exonuclease activity,3'-5'-RNA exonuclease activity,DNA replication checkpoint signaling,DNA replication checkpoint signaling,nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,nuclear-transcribed mRNA poly(A) tail shortening,traversing start control point of mitotic cell cycle,nuclear-transcribed mRNA poly(A) tail shortening,DNA replication,DNA replication,DNA replication,DNA replication,regulation of transcription by RNA polymerase II,regulation of transcription by RNA polymerase II,regulation of transcription by RNA polymerase II,regulation of transcription by RNA polymerase II,regulation of transcription by RNA polymerase II,transcription elongation by RNA polymerase II,transcription elongation by RNA polymerase II,transcription elongation by RNA polymerase II,transcription elongation by RNA polymerase II,transcription elongation by RNA polymerase II,positive regulation of transcription elongation by RNA polymerase II,P-body,cytoplasm,CCR4-NOT core complex,catalytic activity,cytoplasm,catalytic activity,Cdc73/Paf1 complex,RNA binding,nuclease activity,exonuclease activity,poly(A)-specific ribonuclease activity,hydrolase activity,cytoplasm,RNA phosphodiester bond hydrolysis, exonucleolytic,RNA phosphodiester bond hydrolysis, exonucleolytic,metal ion binding,nucleus,nucleus,nuclear-transcribed mRNA poly(A) tail shortening,cytoplasm,cytoplasm,nuclear-transcribed mRNA poly(A) tail shortening,poly(A)-specific ribonuclease activity,nucleus,CCR4-NOT complex",P31384,I
YAL022C,FUN26,NC_001133.9,,108877,110430,-,nucleoside transmembrane transporter FUN26,Nucleotide transport and metabolism,"nucleoside transmembrane transporter activity,nucleoside transmembrane transporter activity,nucleoside transmembrane transporter activity,nucleoside transport,nicotinamide riboside transmembrane transporter activity,nucleobase transport,nucleobase transport,nucleobase transport,nucleobase transport,nucleobase transport,nucleobase transport,nucleobase transport,nucleoside transport,nucleoside transport,nicotinamide riboside transport,transmembrane transport,fungal-type vacuole membrane,nucleoside transmembrane transporter activity,membrane,membrane,fungal-type vacuole membrane,fungal-type vacuole membrane,nucleoside transmembrane transporter activity,nucleoside transmembrane transporter activity,nucleoside transmembrane transport,nucleoside transmembrane transport,nucleobase transmembrane transporter activity,nucleobase transmembrane transporter activity,nucleobase transmembrane transporter activity,nucleobase transmembrane transporter activity,nucleobase transmembrane transporter activity,nucleobase transmembrane transporter activity,nucleobase transmembrane transporter activity,membrane,membrane,nicotinamide riboside transmembrane transporter activity,plasma membrane,nucleobase transmembrane transporter activity,fungal-type vacuole membrane",P31381,I
YAL023C,PMT2,NC_001133.9,,106272,108551,-,dolichyl-phosphate-mannose-protein mannosyltransferase PMT2,"Post-translational modification, protein turnover, and chaperones","protein O-linked mannosylation,regulation of endoplasmic reticulum unfolded protein response,regulation of endoplasmic reticulum unfolded protein response,dolichyl-phosphate-mannose-protein mannosyltransferase activity,dolichyl-phosphate-mannose-protein mannosyltransferase activity,dolichyl-phosphate-mannose-protein mannosyltransferase activity,dolichyl-phosphate-mannose-protein mannosyltransferase activity,dolichyl-phosphate-mannose-protein mannosyltransferase activity,dolichyl-phosphate-mannose-protein mannosyltransferase activity,dolichyl-phosphate-mannose-protein mannosyltransferase activity,protein O-linked glycosylation,protein exit from endoplasmic reticulum,protein O-linked mannosylation,protein O-linked mannosylation,protein O-linked mannosylation,protein O-linked mannosylation,ER-associated misfolded protein catabolic process,ER-associated misfolded protein catabolic process,ER-associated misfolded protein catabolic process,regulation of endoplasmic reticulum unfolded protein response,regulation of endoplasmic reticulum unfolded protein response,dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt2p dimer complex,dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt2p dimer complex,dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt2p dimer complex,dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt2p dimer complex,dolichyl-phosphate-mannose-protein mannosyltransferase activity,protein glycosylation,endoplasmic reticulum,membrane,transferase activity,endoplasmic reticulum,protein O-linked glycosylation,mannosyltransferase activity,membrane,endoplasmic reticulum membrane,glycosyltransferase activity,protein O-linked mannosylation,protein O-linked mannosylation,dolichyl-phosphate-mannose-protein mannosyltransferase activity,endoplasmic reticulum",P31382,I
YAL024C,LTE1,NC_001133.9,,101565,105872,-,mitotic regulator LTE1,Signal transduction mechanisms,"vesicle-mediated transport,asymmetric protein localization to new mitotic spindle pole body,cellular bud,cell division,cytoplasm,cytoplasm,cellular bud,cell cycle,guanyl-nucleotide exchange factor activity,guanyl-nucleotide exchange factor activity,guanyl-nucleotide exchange factor activity,guanyl-nucleotide exchange factor activity,guanyl-nucleotide exchange factor activity,guanyl-nucleotide exchange factor activity,guanyl-nucleotide exchange factor activity,guanyl-nucleotide exchange factor activity,positive regulation of exit from mitosis,small GTPase mediated signal transduction,small GTPase mediated signal transduction,small GTPase mediated signal transduction,small GTPase mediated signal transduction,positive regulation of GTPase activity,guanyl-nucleotide exchange factor activity,Ras protein signal transduction,plasma membrane",P07866,I
YAL025C,MAK16,NC_001133.9,,100225,101145,-,ribosome biosynthesis protein MAK16,RNA processing and modification,"molecular_function,maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),ribosomal large subunit biogenesis,nucleolus,preribosome, large subunit precursor,nucleus,nucleus,cell cycle,preribosome, large subunit precursor,nucleolus,maturation of LSU-rRNA,maturation of 5.8S rRNA",P10962,I
YAL026C,DRS2,NC_001133.9,,95630,99697,-,aminophospholipid-translocating P4-type ATPase DRS2,Inorganic ion transport and metabolism,"endocytosis,endocytosis,post-Golgi vesicle-mediated transport,post-Golgi vesicle-mediated transport,post-Golgi vesicle-mediated transport,endocytosis,endocytic recycling,phospholipid translocation,phospholipid translocation,trans-Golgi network,trans-Golgi network,Cdc50p-Drs2p complex,phospholipid translocation,cellular anatomical entity,phosphatidylethanolamine flippase activity,phosphatidylcholine flippase activity,phosphatidylserine flippase activity,phosphatidylserine flippase activity,aminophospholipid translocation,endoplasmic reticulum,ATP binding,ATPase-coupled intramembrane lipid transporter activity,Golgi apparatus,Golgi apparatus,membrane,ATP binding,ATP binding,nucleotide binding,magnesium ion binding,ATPase-coupled intramembrane lipid transporter activity,phospholipid transport,ATP hydrolysis activity,phosphatidylethanolamine flippase activity,phosphatidylserine flippase activity,phosphatidylserine flippase activity,trans-Golgi network,nucleotide binding,membrane,membrane,phospholipid translocation,endocytic recycling,trans-Golgi network,ATPase-coupled intramembrane lipid transporter activity,plasma membrane,post-Golgi vesicle-mediated transport,intracellular protein transport",P39524,I
YAL027W,SAW1,NC_001133.9,,94687,95472,+,DNA-binding protein SAW1,Function unknown,"double-strand break repair via single-strand annealing, removal of nonhomologous ends,double-strand break repair via single-strand annealing, removal of nonhomologous ends,3'-flap-structured DNA binding,5'-flap-structured DNA binding,flap-structured DNA binding,double-strand break repair via single-strand annealing, removal of nonhomologous ends,nucleus,DNA repair,DNA damage response,nucleus,nucleus",P39735,I
YAL028W,FRT2,NC_001133.9,,92900,94486,+,Frt2p,"Intracellular trafficking, secretion, and vesicular transport","molecular_function,cellular response to alkaline pH,cellular response to salt stress,endoplasmic reticulum,post-translational protein targeting to membrane, translocation,endoplasmic reticulum,endoplasmic reticulum,endoplasmic reticulum membrane,membrane",P39734,I
YAL029C,MYO4,NC_001133.9,,87855,92270,-,myosin 4,Cytoskeleton,"myosin complex,myosin complex,microfilament motor activity,actin filament binding,mating type switching,intracellular mRNA localization,intracellular mRNA localization,intracellular mRNA localization,intracellular mRNA localization,intracellular mRNA localization,endoplasmic reticulum inheritance,endoplasmic reticulum inheritance,cellular bud,cellular bud,cellular bud tip,filamentous actin,organelle organization,cellular localization,actin cytoskeleton,mRNA transport,cellular bud,actin binding,calmodulin binding,ATP binding,mitochondrion,cytoskeletal motor activity,cytoskeletal motor activity,ATP binding,ATP binding,nucleotide binding,myosin complex,mitochondrion,microfilament motor activity,actin cytoskeleton,actin filament organization,vesicle,cytoplasm,vesicle transport along actin filament,actin filament binding",P32492,I
YAL030W,SNC1,NC_001133.9,,87286,87752,+,SNAP receptor SNC1,"Intracellular trafficking, secretion, and vesicular transport","SNAP receptor activity,exocytosis,transport vesicle membrane,Golgi to plasma membrane transport,endocytosis,vesicle fusion,endosome,trans-Golgi network,plasma membrane,cellular bud neck,SNARE complex,SNARE complex,membrane,endomembrane system,cellular bud,vesicle-mediated transport,plasma membrane,trans-Golgi network,cytosol,cytosol,cell periphery,membrane,vesicle fusion,plasma membrane,SNARE complex,SNAP receptor activity,vesicle fusion,syntaxin binding",P31109,I
YAL031C,GIP4,NC_001133.9,,84749,87031,-,protein phosphatase regulator GIP4,Function unknown,"protein phosphatase 1 binding,protein phosphatase regulator activity,protein phosphatase 1 binding,protein phosphatase regulator activity,chromosome segregation,cytoplasm,cytoplasm,cytoplasm,cytoplasm",P39732,I
YAL032C,PRP45,NC_001133.9,,83335,84474,-,mRNA splicing protein PRP45,RNA processing and modification,"generation of catalytic spliceosome for second transesterification step,generation of catalytic spliceosome for second transesterification step,generation of catalytic spliceosome for second transesterification step,generation of catalytic spliceosome for second transesterification step,generation of catalytic spliceosome for second transesterification step,generation of catalytic spliceosome for second transesterification step,generation of catalytic spliceosome for second transesterification step,generation of catalytic spliceosome for second transesterification step,generation of catalytic spliceosome for second transesterification step,nucleus,U2-type catalytic step 1 spliceosome,first spliceosomal transesterification activity,second spliceosomal transesterification activity,U2-type catalytic step 2 spliceosome,post-mRNA release spliceosomal complex,nucleus,nucleus,spliceosomal complex,mRNA processing,RNA splicing,spliceosomal complex,spliceosomal complex,mRNA splicing, via spliceosome,mRNA splicing, via spliceosome",P28004,I
