,gene_id,GO_term
65,YAL059W,ribosomal large subunit export from nucleus
66,YAL059W,ribosomal large subunit export from nucleus
67,YAL059W,nucleus
68,YAL059W,preribosome
69,YAL059W, large subunit precursor
70,YAL059W,nucleus
71,YAL059W,ribosome biogenesis
72,YAL059W,nucleus
73,YAL059W,nucleus
74,YAL059W,nucleolus
75,YAL059W,cytoplasm
76,YAL059W,cytoplasm
77,YAL059W,preribosome
78,YAL059W, large subunit precursor
79,YAL059W,ribosomal large subunit export from nucleus
80,YAL059W,nucleolus
81,YAL058W,endoplasmic reticulum membrane
82,YAL058W,ubiquitin-dependent ERAD pathway
83,YAL058W,protein binding
84,YAL058W,protein binding
85,YAL058W,unfolded protein binding
86,YAL058W,unfolded protein binding
87,YAL058W,protein folding
88,YAL058W,carbohydrate binding
89,YAL058W,endoplasmic reticulum
90,YAL058W,endoplasmic reticulum membrane
91,YAL058W,membrane
92,YAL058W,calcium ion binding
93,YAL058W,calcium ion binding
94,YAL058W,calcium ion binding
95,YAL058W,endoplasmic reticulum
96,YAL058W,unfolded protein binding
97,YAL058W,protein folding
98,YAL058W,endoplasmic reticulum
99,YAL058W,endoplasmic reticulum membrane
100,YAL058W,calcium ion binding
101,YAL058W,ubiquitin-dependent ERAD pathway
102,YAL058W,protein folding
103,YAL056W,cAMP-dependent protein kinase inhibitor activity
104,YAL056W,cAMP-dependent protein kinase inhibitor activity
105,YAL056W,cAMP-dependent protein kinase inhibitor activity
106,YAL056W,cAMP-dependent protein kinase inhibitor activity
107,YAL056W,cAMP-dependent protein kinase inhibitor activity
108,YAL056W,cAMP-dependent protein kinase inhibitor activity
109,YAL056W,GTPase activating protein binding
110,YAL056W,invasive growth in response to glucose limitation
111,YAL056W,invasive growth in response to glucose limitation
112,YAL056W,pseudohyphal growth
113,YAL056W,pseudohyphal growth
114,YAL056W,glucose mediated signaling pathway
115,YAL056W,glucose mediated signaling pathway
116,YAL056W,negative regulation of Ras protein signal transduction
117,YAL056W,plasma membrane
118,YAL056W,cytoplasm
119,YAL056W,mitochondrion
120,YAL056W,ascospore formation
121,YAL056W,signal transduction
122,YAL056W,cytoplasm
123,YAL056W,cytoplasm
124,YAL056W,mitochondrion
125,YAL056W,mitochondrion
126,YAL055W,ubiquitin-protein transferase activator activity
127,YAL055W,protein import into peroxisome matrix
128,YAL055W, receptor recycling
129,YAL055W,positive regulation of protein ubiquitination
130,YAL055W,positive regulation of protein autoubiquitination
131,YAL055W,cytoplasm
132,YAL055W,peroxisomal membrane
133,YAL055W,membrane
134,YAL055W,peroxisome organization
135,YAL055W,peroxisome
136,YAL054C,AMP binding
137,YAL054C,acetyl-CoA biosynthetic process from acetate
138,YAL054C,cytosol
139,YAL054C,acetate-CoA ligase activity
140,YAL054C,acid-ammonia (or amide) ligase activity
141,YAL054C,acetyl-CoA biosynthetic process
142,YAL054C,acetate fermentation
143,YAL054C,catalytic activity
144,YAL054C,small molecule metabolic process
145,YAL054C,mitochondrion
146,YAL054C,mitochondrion
147,YAL054C,nucleus
148,YAL054C,cytoplasm
149,YAL054C,mitochondrion
150,YAL054C,acetate-CoA ligase activity
151,YAL054C,nucleotide binding
152,YAL054C,acetate-CoA ligase activity
153,YAL054C,ATP binding
154,YAL054C,ligase activity
155,YAL054C,nucleus
156,YAL054C,cytoplasm
157,YAL054C,mitochondrion
158,YAL054C,endoplasmic reticulum
159,YAL054C,intracellular membrane-bounded organelle
160,YAL054C,acetate-CoA ligase activity
161,YAL054C,acetyl-CoA biosynthetic process
162,YAL054C,cytosol
163,YAL053W,FAD transmembrane transporter activity
164,YAL053W,protein folding
165,YAL053W,fungal-type cell wall biogenesis
166,YAL053W,FAD transport
167,YAL053W,endoplasmic reticulum
168,YAL053W,sphingolipid biosynthetic process
169,YAL053W,calcium ion homeostasis
170,YAL053W,transmembrane transport
171,YAL053W,cellular hypotonic response
172,YAL053W,cytoplasm
173,YAL053W,endoplasmic reticulum
174,YAL053W,endoplasmic reticulum membrane
175,YAL053W,membrane
176,YAL053W,FAD transmembrane transport
177,YAL053W,fungal-type cell wall biogenesis
178,YAL053W,transmembrane transport
179,YAL051W,positive regulation of fatty acid beta-oxidation
180,YAL051W,positive regulation of transcription by RNA polymerase II
181,YAL051W,positive regulation of transcription from RNA polymerase II promoter by oleic acid
182,YAL051W,positive regulation of transcription from RNA polymerase II promoter by oleic acid
183,YAL051W,Pip2-Oaf1 complex
184,YAL051W,Pip2-Oaf1 complex
185,YAL051W,RNA polymerase II cis-regulatory region sequence-specific DNA binding
186,YAL051W,DNA-binding transcription activator activity
187,YAL051W, RNA polymerase II-specific
188,YAL051W,sequence-specific DNA binding
189,YAL051W,sequence-specific DNA binding
190,YAL051W,DNA binding
191,YAL051W,metal ion binding
192,YAL051W,sporulation resulting in formation of a cellular spore
193,YAL051W,nucleus
194,YAL051W,nucleus
195,YAL051W,DNA-binding transcription factor activity
196,YAL051W, RNA polymerase II-specific
197,YAL051W,DNA-binding transcription factor activity
198,YAL051W, RNA polymerase II-specific
199,YAL051W,zinc ion binding
200,YAL051W,zinc ion binding
201,YAL051W,regulation of DNA-templated transcription
202,YAL051W,regulation of DNA-templated transcription
203,YAL051W,DNA-binding transcription activator activity
204,YAL051W, RNA polymerase II-specific
205,YAL051W,DNA-binding transcription activator activity
206,YAL051W, RNA polymerase II-specific
207,YAL051W,zinc ion binding
208,YAL051W,RNA polymerase II cis-regulatory region sequence-specific DNA binding
209,YAL051W,nucleus
210,YAL051W,DNA-binding transcription factor activity
211,YAL051W, RNA polymerase II-specific
212,YAL051W,positive regulation of transcription by RNA polymerase II
213,YAL049C,molecular_function
214,YAL049C,biological_process
215,YAL049C,cytoplasm
216,YAL049C,cytoplasm
217,YAL049C,cytoplasm
218,YAL049C,hydrolase activity
219,YAL048C,regulation of mitochondrion organization
220,YAL048C,phospholipid homeostasis
221,YAL048C,phospholipid homeostasis
222,YAL048C,phospholipid homeostasis
223,YAL048C,ERMES complex
224,YAL048C,ERMES complex
225,YAL048C,ERMES complex
226,YAL048C,ERMES complex
227,YAL048C,GTPase activity
228,YAL048C,calcium ion binding
229,YAL048C,mitochondrion inheritance
230,YAL048C,mitochondrion inheritance
231,YAL048C,mitochondrion inheritance
232,YAL048C,mitochondrion-endoplasmic reticulum membrane tethering
233,YAL048C,mitochondrion-endoplasmic reticulum membrane tethering
234,YAL048C,mitochondrial outer membrane
235,YAL048C,ERMES complex
236,YAL048C,ERMES complex
237,YAL048C,ERMES complex
238,YAL048C,ERMES complex
239,YAL048C,heme transport
240,YAL048C,GTPase activity
241,YAL048C,mitochondrion
242,YAL048C,mitochondrial outer membrane
243,YAL048C,nucleotide binding
244,YAL048C,membrane
245,YAL048C,GTPase activity
246,YAL048C,GTPase activity
247,YAL048C,GTPase activity
248,YAL048C,GTP binding
249,YAL048C,GTP binding
250,YAL048C,GTP binding
251,YAL048C,GTP binding
252,YAL048C,mitochondrial outer membrane
253,YAL048C,GTP binding
254,YAL048C,hydrolase activity
255,YAL048C,metal ion binding
256,YAL048C,small GTPase mediated signal transduction
257,YAL048C,mitochondrion
258,YAL048C,mitochondrial outer membrane
259,YAL048C,calcium ion binding
260,YAL048C,calcium ion binding
261,YAL048C,mitochondrion organization
262,YAL048C,mitochondrial outer membrane
263,YAL048C,mitochondrion organization
264,YAL048C,GTP binding
265,YAL048C,GTPase activity
266,YAL047C,microtubule nucleation
267,YAL047C,mitotic spindle orientation checkpoint signaling
268,YAL047C,mitotic spindle orientation checkpoint signaling
269,YAL047C,outer plaque of spindle pole body
270,YAL047C,protein-containing complex binding
271,YAL047C,protein-containing complex binding
272,YAL047C,microtubule plus-end binding
273,YAL047C,microtubule lateral binding
274,YAL047C,astral microtubule organization
275,YAL047C,cytoplasmic microtubule organization
276,YAL047C,gamma-tubulin complex localization to cytoplasmic side of mitotic spindle pole body
277,YAL047C,gamma-tubulin complex localization to cytoplasmic side of mitotic spindle pole body
278,YAL047C,gamma-tubulin complex localization to cytoplasmic side of mitotic spindle pole body
279,YAL047C,astral microtubule anchoring at mitotic spindle pole body
280,YAL047C,spindle pole body
281,YAL047C,spindle microtubule
282,YAL047C,mitotic spindle astral microtubule end
283,YAL047C,cell cycle
284,YAL047C,cell division
285,YAL047C,karyogamy
286,YAL047C,cytoplasm
287,YAL047C,spindle pole body
288,YAL047C,cytoskeleton
289,YAL047C,outer plaque of mitotic spindle pole body
290,YAL046C,protein maturation by [4Fe-4S] cluster transfer
291,YAL046C,protein maturation by [4Fe-4S] cluster transfer
292,YAL046C,protein maturation by [4Fe-4S] cluster transfer
293,YAL046C,protein maturation by [4Fe-4S] cluster transfer
294,YAL046C,protein maturation by [4Fe-4S] cluster transfer
295,YAL046C,protein maturation by [4Fe-4S] cluster transfer
296,YAL046C,protein maturation by [4Fe-4S] cluster transfer
297,YAL046C,protein maturation by [4Fe-4S] cluster transfer
298,YAL046C,protein maturation by [4Fe-4S] cluster transfer
299,YAL046C,protein maturation by [4Fe-4S] cluster transfer
300,YAL046C,protein maturation by [4Fe-4S] cluster transfer
301,YAL046C,protein maturation by [4Fe-4S] cluster transfer
302,YAL046C,protein maturation by [4Fe-4S] cluster transfer
303,YAL046C,protein maturation by [4Fe-4S] cluster transfer
304,YAL046C,molecular_function
305,YAL046C,mitochondrial matrix
306,YAL046C,mitochondrion
307,YAL046C,mitochondrial matrix
308,YAL046C,protein maturation by [4Fe-4S] cluster transfer
309,YAL046C,mitochondrial matrix
310,YAL044W-A,[4Fe-4S] cluster assembly
311,YAL044W-A,[4Fe-4S] cluster assembly
312,YAL044W-A,[4Fe-4S] cluster assembly
313,YAL044W-A,protein maturation by [4Fe-4S] cluster transfer
314,YAL044W-A,molecular_function
315,YAL044W-A,mitochondrion
316,YAL044W-A,mitochondrial matrix
317,YAL044W-A,mitochondrial matrix
318,YAL044C,glycine catabolic process
319,YAL044C,one-carbon metabolic process
320,YAL044C,protein lipoylation
321,YAL044C,mitochondrion
322,YAL044C,small molecule metabolic process
323,YAL044C,mitochondrion
324,YAL044C,mitochondrion
325,YAL044C,mitochondrion
326,YAL044C,lipoic acid binding
327,YAL044C,glycine cleavage complex
328,YAL044C,glycine decarboxylation via glycine cleavage system
329,YAL044C,glycine decarboxylation via glycine cleavage system
330,YAL044C,glycine cleavage complex
331,YAL044C,glycine cleavage complex
332,YAL044C,mitochondrion
333,YAL044C,mitochondrion
334,YAL044C,mitochondrion
335,YAL044C,glycine decarboxylation via glycine cleavage system
336,YAL044C,cytoplasm
337,YAL044C,protein lipoylation
338,YAL043C,mRNA polyadenylation
339,YAL043C,mRNA polyadenylation
340,YAL043C,tRNA processing
341,YAL043C,termination of RNA polymerase II transcription
342,YAL043C, poly(A)-coupled
343,YAL043C,pre-mRNA cleavage required for polyadenylation
344,YAL043C,mRNA cleavage and polyadenylation specificity factor complex
345,YAL043C,mRNA cleavage and polyadenylation specificity factor complex
346,YAL043C,RNA binding
347,YAL043C,nucleus
348,YAL043C,mRNA cleavage and polyadenylation specificity factor complex
349,YAL043C,mRNA processing
350,YAL043C,tRNA processing
351,YAL043C,nucleus
352,YAL043C,mRNA polyadenylation
353,YAL043C,mRNA cleavage and polyadenylation specificity factor complex
354,YAL042W,Golgi membrane
355,YAL042W,endoplasmic reticulum membrane
356,YAL042W,molecular_function
357,YAL042W,COPII-coated ER to Golgi transport vesicle
358,YAL042W,intracellular transport
359,YAL042W,endoplasmic reticulum
360,YAL042W,protein transport
361,YAL042W,vesicle-mediated transport
362,YAL042W,Golgi membrane
363,YAL042W,endoplasmic reticulum
364,YAL042W,endoplasmic reticulum membrane
365,YAL042W,Golgi apparatus
366,YAL042W,membrane
367,YAL042W,endoplasmic reticulum to Golgi vesicle-mediated transport
368,YAL042W,retrograde vesicle-mediated transport
369,YAL042W, Golgi to endoplasmic reticulum
370,YAL042W,endoplasmic reticulum to Golgi vesicle-mediated transport
371,YAL042W,endoplasmic reticulum
372,YAL042W,membrane
373,YAL042W,COPII-coated ER to Golgi transport vesicle
374,YAL041W,cellular bud site selection
375,YAL041W,regulation of exit from mitosis
376,YAL041W,septin ring organization
377,YAL041W,protein localization to cell cortex
378,YAL041W,incipient cellular bud site
379,YAL041W,nucleus
380,YAL041W,cytoplasm
381,YAL041W,cellular bud tip
382,YAL041W,cellular bud neck
383,YAL041W,mating projection tip
384,YAL041W,guanyl-nucleotide exchange factor activity
385,YAL041W,cellular component organization
386,YAL041W,guanyl-nucleotide exchange factor activity
387,YAL041W,guanyl-nucleotide exchange factor activity
388,YAL041W,pheromone-dependent signal transduction involved in conjugation with cellular fusion
389,YAL041W,pheromone-dependent signal transduction involved in conjugation with cellular fusion
390,YAL041W,intracellular signal transduction
391,YAL041W,chemotropism
392,YAL041W,Cdc24p-Far1p-Gbetagamma complex
393,YAL041W,Cdc24p-Far1p-Gbetagamma complex
394,YAL041W,guanyl-nucleotide exchange factor activity
395,YAL041W,guanyl-nucleotide exchange factor activity
396,YAL041W,guanyl-nucleotide exchange factor activity
397,YAL041W,nucleus
398,YAL041W,cytoplasm
399,YAL041W,cytoplasm
400,YAL041W,establishment of cell polarity
401,YAL041W,nucleus
402,YAL041W,septin ring organization
403,YAL041W,mating projection tip
404,YAL041W,division septum
405,YAL040C,cyclin-dependent protein serine/threonine kinase regulator activity
406,YAL040C,cyclin-dependent protein serine/threonine kinase regulator activity
407,YAL040C,cyclin-dependent protein serine/threonine kinase regulator activity
408,YAL040C,regulation of transcription involved in G1/S transition of mitotic cell cycle
409,YAL040C,regulation of transcription involved in G1/S transition of mitotic cell cycle
410,YAL040C,regulation of transcription involved in G1/S transition of mitotic cell cycle
411,YAL040C,vacuole organization
412,YAL040C,vacuole fusion
413,YAL040C, non-autophagic
414,YAL040C,vacuole fusion
415,YAL040C, non-autophagic
416,YAL040C,nucleus
417,YAL040C,nucleus
418,YAL040C,nucleus
419,YAL040C,traversing start control point of mitotic cell cycle
420,YAL040C,traversing start control point of mitotic cell cycle
421,YAL040C,traversing start control point of mitotic cell cycle
422,YAL040C,traversing start control point of mitotic cell cycle
423,YAL040C,nucleus
424,YAL040C,mitotic cell cycle phase transition
425,YAL040C,regulation of protein phosphorylation
426,YAL040C,regulation of protein phosphorylation
427,YAL040C,cyclin-dependent protein serine/threonine kinase regulator activity
428,YAL040C,regulation of cyclin-dependent protein serine/threonine kinase activity
429,YAL040C,cell cycle
430,YAL040C,cell division
431,YAL040C,cyclin-dependent protein serine/threonine kinase regulator activity
432,YAL040C,cytoplasm
433,YAL040C,mitotic cell cycle phase transition
434,YAL040C,regulation of cyclin-dependent protein serine/threonine kinase activity
435,YAL040C,spindle pole body
436,YAL040C,cyclin-dependent protein kinase holoenzyme complex
437,YAL040C,nucleus
438,YAL039C,mitochondrion
439,YAL039C,holocytochrome-c synthase activity
440,YAL039C,holocytochrome-c synthase activity
441,YAL039C,holocytochrome-c synthase activity
442,YAL039C,cytochrome c-heme linkage
443,YAL039C,mitochondrial intermembrane space
444,YAL039C,holocytochrome-c synthase activity
445,YAL039C,lyase activity
446,YAL039C,metal ion binding
447,YAL039C,mitochondrion
448,YAL039C,membrane
449,YAL039C,mitochondrial intermembrane space
450,YAL039C,mitochondrial inner membrane
451,YAL039C,holocytochrome-c synthase activity
452,YAL039C,mitochondrial inner membrane
453,YAL039C,mitochondrion
454,YAL039C,mitochondrion
455,YAL039C,holocytochrome-c synthase activity
456,YAL039C,mitochondrion
457,YAL039C,cytochrome c-heme linkage
458,YAL038W,pyruvate kinase activity
459,YAL038W,pyruvate kinase activity
460,YAL038W,pyruvate metabolic process
461,YAL038W,glycolytic process
462,YAL038W,cytoplasm
463,YAL038W,cytoplasm
464,YAL038W,pyruvate kinase activity
465,YAL038W,transferase activity
466,YAL038W,glycolytic process
467,YAL038W,kinase activity
468,YAL038W,metal ion binding
469,YAL038W,glycolytic process
470,YAL038W,metabolic process
471,YAL038W,phosphorylation
472,YAL038W,nucleotide binding
473,YAL038W,catalytic activity
474,YAL038W,ATP binding
475,YAL038W,monocarboxylic acid metabolic process
476,YAL038W,glycolytic process
477,YAL038W,glycolytic process
478,YAL038W,glycolytic process
479,YAL038W,glycolytic process
480,YAL038W,magnesium ion binding
481,YAL038W,magnesium ion binding
482,YAL038W,pyruvate kinase activity
483,YAL038W,pyruvate kinase activity
484,YAL038W,pyruvate kinase activity
485,YAL038W,pyruvate kinase activity
486,YAL038W,potassium ion binding
487,YAL038W,potassium ion binding
488,YAL038W,catalytic activity
489,YAL038W,plasma membrane
490,YAL038W,cytoplasm
491,YAL038W,glycolytic process
492,YAL038W,pyruvate kinase activity
493,YAL037W,molecular_function
494,YAL037W,biological_process
495,YAL037W,cellular_component
496,YAL036C,GTP binding
497,YAL036C,GTP binding
498,YAL036C,GTP binding
499,YAL036C,GTP binding
500,YAL036C,GTP binding
501,YAL036C,GTP binding
502,YAL036C,cytoplasmic translation
503,YAL036C,cytoplasmic translation
504,YAL036C,cytoplasmic translation
505,YAL036C,positive regulation of cellular response to amino acid starvation
506,YAL036C,polysome
507,YAL036C,polysome
508,YAL036C,cytoplasm
509,YAL036C,nucleotide binding
510,YAL036C,GTPase activity
511,YAL036C,cytoplasm
512,YAL036C,GTP binding
513,YAL036C,cytoplasm
514,YAL036C,cytoplasmic stress granule
515,YAL036C,peroxisome
516,YAL036C,cytoplasmic translation
517,YAL036C,GTP binding
518,YAL036C,cytoplasm
519,YAL035W,GTPase activity
520,YAL035W,GTP binding
521,YAL035W,GTP binding
522,YAL035W,GTP binding
523,YAL035W,GTPase activity
524,YAL035W,translation initiation factor activity
525,YAL035W,translation initiation factor activity
526,YAL035W,GTPase activity
527,YAL035W,GTP binding
528,YAL035W,translation initiation factor binding
529,YAL035W,ribosome binding
530,YAL035W,maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA
531,YAL035W, 5.8S rRNA
532,YAL035W, LSU-rRNA)
533,YAL035W,formation of cytoplasmic translation initiation complex
534,YAL035W,formation of cytoplasmic translation initiation complex
535,YAL035W,regulation of translational initiation
536,YAL035W,ribosome assembly
537,YAL035W,cytosolic small ribosomal subunit
538,YAL035W,eukaryotic 48S preinitiation complex
539,YAL035W,cytoplasm
540,YAL035W,mitochondrion
541,YAL035W,cytosol
542,YAL035W,cytoplasmic stress granule
543,YAL035W,GTPase activity
544,YAL035W,GTPase activity
545,YAL035W,GTP binding
546,YAL035W,ribosome binding
547,YAL035W,small ribosomal subunit rRNA binding
548,YAL035W,formation of cytoplasmic translation initiation complex
549,YAL035W,formation of cytoplasmic translation initiation complex
550,YAL035W,cytosolic ribosome assembly
551,YAL035W,nucleotide binding
552,YAL035W,translation initiation factor activity
553,YAL035W,hydrolase activity
554,YAL035W,metal ion binding
555,YAL035W,translation
556,YAL035W,translational initiation
557,YAL035W,cytoplasm
558,YAL035W,cytoplasm
559,YAL035W,GTPase activity
560,YAL035W,mitochondrion
561,YAL035W,GTP binding
562,YAL035W,translational initiation
563,YAL035W,cytoplasm
564,YAL035W,translation initiation factor activity
565,YAL034W-A,nucleus
566,YAL034W-A,chromosome
567,YAL034W-A, centromeric region
568,YAL034W-A,mitotic cell cycle
569,YAL034W-A,molecular_function
570,YAL034W-A,chromosome segregation
571,YAL034W-A,protein localization to kinetochore
572,YAL034W-A,protein localization to kinetochore
573,YAL034W-A,protein localization to kinetochore
574,YAL034W-A,protein localization to kinetochore
575,YAL034W-A,protein localization to kinetochore
576,YAL034W-A,protein localization to kinetochore
577,YAL034W-A,protein localization to kinetochore
578,YAL034W-A,protein localization to kinetochore
579,YAL034W-A,protein localization to kinetochore
580,YAL034W-A,spindle pole
581,YAL034W-A,cell cycle
582,YAL034W-A,cell division
583,YAL034W-A,chromosome
584,YAL034W-A, centromeric region
585,YAL034W-A,kinetochore
586,YAL034W-A,spindle pole
587,YAL034W-A,chromosome
588,YAL034W-A,cytoplasm
589,YAL034W-A,cytoskeleton
590,YAL034W-A,MIS12/MIND type complex
591,YAL034W-A,mitotic sister chromatid segregation
592,YAL034W-A,kinetochore assembly
593,YAL034C,molecular_function
594,YAL034C,biological_process
595,YAL034C,cellular_component
596,YAL034C,positive regulation of DNA-templated transcription
597,YAL034C,chromatin remodeling
598,YAL034C,Clr6 histone deacetylase complex I''
599,YAL034C,Rpd3L-Expanded complex
600,YAL034C,transcription coactivator activity
601,YAL034C,chromatin binding
602,YAL034C,nucleus
603,YAL034C,regulation of transcription by RNA polymerase II
604,YAL033W,ribonuclease MRP complex
605,YAL033W,nucleolar ribonuclease P complex
606,YAL033W,ribonuclease MRP activity
607,YAL033W,RNA binding
608,YAL033W,nuclear-transcribed mRNA catabolic process
609,YAL033W, RNase MRP-dependent
610,YAL033W,rRNA processing
611,YAL033W,tRNA processing
612,YAL033W,intronic box C/D RNA processing
613,YAL033W,ribonuclease MRP complex
614,YAL033W,ribonuclease MRP complex
615,YAL033W,ribonuclease MRP complex
616,YAL033W,ribonuclease MRP complex
617,YAL033W,ribonuclease MRP complex
618,YAL033W,endoribonuclease complex
619,YAL033W,ribonucleoprotein complex
620,YAL033W,tRNA 5'-leader removal
621,YAL033W,tRNA 5'-leader removal
622,YAL033W,ribonuclease P RNA binding
623,YAL033W,ribonuclease P complex
624,YAL033W,ribonuclease P activity
625,YAL033W,hydrolase activity
626,YAL033W,nucleus
627,YAL033W,cytoplasm
628,YAL033W,cytoplasm
629,YAL033W,rRNA processing
630,YAL033W,tRNA processing
631,YAL033W,nucleus
632,YAL033W,RNA phosphodiester bond hydrolysis
633,YAL033W,RNA phosphodiester bond hydrolysis
634,YAL033W, endonucleolytic
635,YAL033W,RNA phosphodiester bond hydrolysis
636,YAL033W, endonucleolytic
637,YAL033W,ribonuclease MRP activity
638,YAL033W,ribonuclease P activity
639,YAL033W,ribonuclease P activity
640,YAL033W,tRNA processing
641,YAL033W,rRNA processing
642,YAL033W,tRNA processing
643,YAL033W,ribonuclease MRP complex
644,YAL033W,mitochondrion
645,YAL033W,lipoyl(octanoyl) transferase activity
646,YAL033W,nucleolar ribonuclease P complex
647,YAL032C,generation of catalytic spliceosome for second transesterification step
648,YAL032C,generation of catalytic spliceosome for second transesterification step
649,YAL032C,generation of catalytic spliceosome for second transesterification step
650,YAL032C,generation of catalytic spliceosome for second transesterification step
651,YAL032C,generation of catalytic spliceosome for second transesterification step
652,YAL032C,generation of catalytic spliceosome for second transesterification step
653,YAL032C,generation of catalytic spliceosome for second transesterification step
654,YAL032C,generation of catalytic spliceosome for second transesterification step
655,YAL032C,generation of catalytic spliceosome for second transesterification step
656,YAL032C,nucleus
657,YAL032C,U2-type catalytic step 1 spliceosome
658,YAL032C,first spliceosomal transesterification activity
659,YAL032C,second spliceosomal transesterification activity
660,YAL032C,U2-type catalytic step 2 spliceosome
661,YAL032C,post-mRNA release spliceosomal complex
662,YAL032C,nucleus
663,YAL032C,nucleus
664,YAL032C,spliceosomal complex
665,YAL032C,mRNA processing
666,YAL032C,RNA splicing
667,YAL032C,spliceosomal complex
668,YAL032C,spliceosomal complex
669,YAL032C,mRNA splicing
670,YAL032C, via spliceosome
671,YAL032C,mRNA splicing
672,YAL032C, via spliceosome
673,YAL031C,protein phosphatase 1 binding
674,YAL031C,protein phosphatase regulator activity
675,YAL031C,protein phosphatase 1 binding
676,YAL031C,protein phosphatase regulator activity
677,YAL031C,chromosome segregation
678,YAL031C,cytoplasm
679,YAL031C,cytoplasm
680,YAL031C,cytoplasm
681,YAL031C,cytoplasm
682,YAL030W,SNAP receptor activity
683,YAL030W,exocytosis
684,YAL030W,transport vesicle membrane
685,YAL030W,Golgi to plasma membrane transport
686,YAL030W,endocytosis
687,YAL030W,vesicle fusion
688,YAL030W,endosome
689,YAL030W,trans-Golgi network
690,YAL030W,plasma membrane
691,YAL030W,cellular bud neck
692,YAL030W,SNARE complex
693,YAL030W,SNARE complex
694,YAL030W,membrane
695,YAL030W,endomembrane system
696,YAL030W,cellular bud
697,YAL030W,vesicle-mediated transport
698,YAL030W,plasma membrane
699,YAL030W,trans-Golgi network
700,YAL030W,cytosol
701,YAL030W,cytosol
702,YAL030W,cell periphery
703,YAL030W,membrane
704,YAL030W,vesicle fusion
705,YAL030W,plasma membrane
706,YAL030W,SNARE complex
707,YAL030W,SNAP receptor activity
708,YAL030W,vesicle fusion
709,YAL030W,syntaxin binding
710,YAL029C,myosin complex
711,YAL029C,myosin complex
712,YAL029C,microfilament motor activity
713,YAL029C,actin filament binding
714,YAL029C,mating type switching
715,YAL029C,intracellular mRNA localization
716,YAL029C,intracellular mRNA localization
717,YAL029C,intracellular mRNA localization
718,YAL029C,intracellular mRNA localization
719,YAL029C,intracellular mRNA localization
720,YAL029C,endoplasmic reticulum inheritance
721,YAL029C,endoplasmic reticulum inheritance
722,YAL029C,cellular bud
723,YAL029C,cellular bud
724,YAL029C,cellular bud tip
725,YAL029C,filamentous actin
726,YAL029C,organelle organization
727,YAL029C,cellular localization
728,YAL029C,actin cytoskeleton
729,YAL029C,mRNA transport
730,YAL029C,cellular bud
731,YAL029C,actin binding
732,YAL029C,calmodulin binding
733,YAL029C,ATP binding
734,YAL029C,mitochondrion
735,YAL029C,cytoskeletal motor activity
736,YAL029C,cytoskeletal motor activity
737,YAL029C,ATP binding
738,YAL029C,ATP binding
739,YAL029C,nucleotide binding
740,YAL029C,myosin complex
741,YAL029C,mitochondrion
742,YAL029C,microfilament motor activity
743,YAL029C,actin cytoskeleton
744,YAL029C,actin filament organization
745,YAL029C,vesicle
746,YAL029C,cytoplasm
747,YAL029C,vesicle transport along actin filament
