,explained_variance,category,imodulon_size,genes_contained,top_5_gene_weights
motility,0.013538642806814938,structural,19.0,"['ZMO1_ZMO0604', 'ZMO1_ZMO0605', 'ZMO1_ZMO0606', 'ZMO1_ZMO0607', 'ZMO1_ZMO0608', 'ZMO1_ZMO0609', 'ZMO1_ZMO0610', 'ZMO1_ZMO0611', 'ZMO1_ZMO0612', 'ZMO1_ZMO0613', 'ZMO1_ZMO0614', 'ZMO1_ZMO0627', 'ZMO1_ZMO0629', 'ZMO1_ZMO0631', 'ZMO1_ZMO0632', 'ZMO1_ZMO0634', 'ZMO1_ZMO0635', 'ZMO1_ZMO0636', 'ZMO1_ZMO0637']","ZMO1_ZMO0635, ZMO1_ZMO0634, ZMO1_ZMO0609, ZMO1_ZMO0612, ZMO1_ZMO0611"
motility_plasmid,0.019382204572724215,structural,22.0,"['ZMO1_ZMOp36x001', 'ZMO1_ZMOp36x002', 'ZMO1_ZMOp36x003', 'ZMO1_ZMOp36x004', 'ZMO1_ZMOp36x005', 'ZMO1_ZMOp36x006', 'ZMO1_ZMOp36x007', 'ZMO1_ZMOp36x008', 'ZMO1_ZMOp36x009', 'ZMO1_ZMOp36x010', 'ZMO1_ZMOp36x011', 'ZMO1_ZMOp36x012', 'ZMO1_ZMOp36x013', 'ZMO1_ZMOp36x014', 'ZMO1_ZMOp36x015', 'ZMO1_ZMOp36x041', 'ZMO1_ZMOp36x042', 'ZMO1_ZMOp36x043', 'ZMO1_ZMOp36x044', 'ZMO1_ZMOp36x045', 'ZMO1_ZMOp36x046', 'ZMO1_ZMOp36x047']","ZMO1_ZMOp36x043, ZMO1_ZMOp36x044, ZMO1_ZMOp36x006, ZMO1_ZMOp36x007, ZMO1_ZMOp36x011"
NaAc_response,0.006881938163643131,stress response,2.0,"['ZMO1_ZMO1457', 'ZMO1_ZMO1458']","ZMO1_ZMO1457, ZMO1_ZMO1458"
nitrogen_fixation,0.01862965187694865,metabolism,12.0,"['ZMO1_ZMO1823', 'ZMO1_ZMO1824', 'ZMO1_ZMO1825', 'ZMO1_ZMO1826', 'ZMO1_ZMO1827', 'ZMO1_ZMO1828', 'ZMO1_ZMO1829', 'ZMO1_ZMO2028', 'ZMO1_ZMO1831', 'ZMO1_ZMO1832', 'ZMO1_ZMO1833', 'ZMO1_ZMO1834']","ZMO1_ZMO1824, ZMO1_ZMO1823, ZMO1_ZMO1825, ZMO1_ZMO1826, ZMO1_ZMO1829"
noise_1,0.0123602747147038,noise,15.0,"['ZMO1_ZMO0095', 'ZMO1_ZMO0366', 'ZMO1_ZMO0442', 'ZMO1_ZMO0847', 'ZMO1_ZMO0889', 'ZMO1_ZMO1033', 'ZMO1_ZMO1283', 'ZMO1_ZMO1344', 'ZMO1_ZMO1684', 'ZMO1_ZMO1685', 'ZMO1_ZMO1694', 'ZMO1_ZMO1719', 'ZMO1_ZMO1779', 'ZMO1_ZMO1780', 'ZMO1_ZMO1859']","ZMO1_ZMO1859, ZMO1_ZMO0889, ZMO1_ZMO1719, ZMO1_ZMO0847, ZMO1_ZMO1694"
noise_2,0.00212269957518485,noise,15.0,"['ZMO1_ZMO0895', 'ZMO1_ZMO2014', 'ZMO1_ZMO2016', 'ZMO1_ZMO1301', 'ZMO1_ZMO1468', 'ZMO1_ZMO1536', 'ZMO1_ZMO1589', 'ZMO1_ZMO1620', 'ZMO1_ZMO1966', 'ZMO1_ZMOp32x024', 'ZMO1_ZMOp33x034', 'ZMO1_ZMOp33x035', 'ZMO1_ZMOp36x027', 'ZMO1_ZMOp36x028', 'ZMO1_ZMOp36x038']","ZMO1_ZMOp36x038, ZMO1_ZMOp33x035, ZMO1_ZMO1536, ZMO1_ZMOp36x028, ZMO1_ZMOp33x034"
noise_3,0.002030139656005736,noise,45.0,"['ZMO1_ZMO0011', 'ZMO1_ZMO0036', 'ZMO1_ZMO0053', 'ZMO1_ZMO0216', 'ZMO1_ZMO0331', 'ZMO1_ZMO0371', 'ZMO1_ZMO0373', 'ZMO1_ZMO0388', 'ZMO1_ZMO0602', 'ZMO1_ZMO2052', 'ZMO1_ZMO0694', 'ZMO1_ZMO2054', 'ZMO1_ZMO0888', 'ZMO1_ZMO0889', 'ZMO1_ZMO0903', 'ZMO1_ZMO0989', 'ZMO1_ZMO1055', 'ZMO1_ZMO1080', 'ZMO1_ZMO1081', 'ZMO1_ZMO1085', 'ZMO1_ZMO1105', 'ZMO1_ZMO1116', 'ZMO1_ZMO1236', 'ZMO1_ZMO1373', 'ZMO1_ZMO1382', 'ZMO1_ZMO1456', 'ZMO1_ZMO1482', 'ZMO1_ZMO1487', 'ZMO1_ZMO1527', 'ZMO1_ZMO1581', 'ZMO1_ZMO1596', 'ZMO1_ZMO1628', 'ZMO1_ZMO1629', 'ZMO1_ZMO1782', 'ZMO1_ZMO1850', 'ZMO1_ZMO1851', 'ZMO1_ZMO1853', 'ZMO1_ZMO1928', 'ZMO1_ZMO1929', 'ZMO1_ZMO1961', 'ZMO1_ZMO1962', 'ZMO1_ZMOp32x015', 'ZMO1_ZMOp36x010', 'ZMO1_ZMOp36x022', 'ZMO1_ZMOp39x002']","ZMO1_ZMO1105, ZMO1_ZMO1961, ZMO1_ZMO1080, ZMO1_ZMO1081, ZMO1_ZMO0331"
noise_4,0.008423555283103235,noise,35.0,"['ZMO1_ZMO0090', 'ZMO1_ZMO0095', 'ZMO1_ZMO0142', 'ZMO1_ZMO0150', 'ZMO1_ZMO0432', 'ZMO1_ZMO0566', 'ZMO1_ZMO0688', 'ZMO1_ZMO0689', 'ZMO1_ZMO0698', 'ZMO1_ZMO0797', 'ZMO1_ZMO0798', 'ZMO1_ZMO0799', 'ZMO1_ZMO0800', 'ZMO1_ZMO0801', 'ZMO1_ZMO0876', 'ZMO1_ZMO0889', 'ZMO1_ZMO0895', 'ZMO1_ZMO0902', 'ZMO1_ZMO1026', 'ZMO1_ZMO1181', 'ZMO1_ZMO1236', 'ZMO1_ZMO1268', 'ZMO1_ZMO1301', 'ZMO1_ZMO1429', 'ZMO1_ZMO1430', 'ZMO1_ZMO1431', 'ZMO1_ZMO1432', 'ZMO1_ZMO1437', 'ZMO1_ZMO1671', 'ZMO1_ZMO1681', 'ZMO1_ZMO1682', 'ZMO1_ZMO1853', 'ZMO1_ZMO1855', 'ZMO1_ZMO1955', 'ZMO1_ZMOp33x034']","ZMO1_ZMO1853, ZMO1_ZMO1855, ZMO1_ZMO0801, ZMO1_ZMO0799, ZMO1_ZMO0797"
oxidation_response_2,0.014669901946003594,stress response,19.0,"['ZMO1_ZMO0085', 'ZMO1_ZMO0256', 'ZMO1_ZMO0422', 'ZMO1_ZMO0443', 'ZMO1_ZMO0678', 'ZMO1_ZMO0753', 'ZMO1_ZMO0754', 'ZMO1_ZMO0903', 'ZMO1_ZMO1060', 'ZMO1_ZMO1097', 'ZMO1_ZMO1113', 'ZMO1_ZMO1211', 'ZMO1_ZMO1495', 'ZMO1_ZMO1561', 'ZMO1_ZMO1603', 'ZMO1_ZMO1732', 'ZMO1_ZMO1753', 'ZMO1_ZMO1874', 'ZMO1_ZMO1875']","ZMO1_ZMO1732, ZMO1_ZMO1753, ZMO1_ZMO0678, ZMO1_ZMO0085, ZMO1_ZMO0422"
phage_shock,0.011237448115753113,stress response,4.0,"['ZMO1_ZMO1062', 'ZMO1_ZMO1063', 'ZMO1_ZMO1064', 'ZMO1_ZMO1065']","ZMO1_ZMO1062, ZMO1_ZMO1063, ZMO1_ZMO1064, ZMO1_ZMO1065"
plasmid_unknown_1,0.011822231061339727,uncharacterized,57.0,"['ZMO1_ZMO0031', 'ZMO1_ZMO0101', 'ZMO1_ZMO0102', 'ZMO1_ZMO0122', 'ZMO1_ZMO0188', 'ZMO1_ZMO0203', 'ZMO1_ZMO0318', 'ZMO1_ZMO0372', 'ZMO1_ZMO0687', 'ZMO1_ZMO2053', 'ZMO1_ZMO0795', 'ZMO1_ZMO0895', 'ZMO1_ZMO1080', 'ZMO1_ZMO1276', 'ZMO1_ZMO2016', 'ZMO1_ZMO2065', 'ZMO1_ZMO1576', 'ZMO1_ZMO1603', 'ZMO1_ZMO1681', 'ZMO1_ZMO1682', 'ZMO1_ZMO1696', 'ZMO1_ZMO1721', 'ZMO1_ZMO1780', 'ZMO1_ZMO1794', 'ZMO1_ZMO1834', 'ZMO1_ZMO2076', 'ZMO1_ZMO1932', 'ZMO1_ZMO1936', 'ZMO1_ZMO1945', 'ZMO1_ZMO1946', 'ZMO1_ZMO1949', 'ZMO1_ZMOp32x009', 'ZMO1_ZMOp32x014', 'ZMO1_ZMOp33x001', 'ZMO1_ZMOp33x002', 'ZMO1_ZMOp33x005', 'ZMO1_ZMOp33x008', 'ZMO1_ZMOp33x009', 'ZMO1_ZMOp33x010', 'ZMO1_ZMOp33x011', 'ZMO1_ZMOp33x012', 'ZMO1_ZMOp33x013', 'ZMO1_ZMOp33x014', 'ZMO1_ZMOp33x015', 'ZMO1_ZMOp33x016', 'ZMO1_ZMOp33x017', 'ZMO1_ZMOp33x018', 'ZMO1_ZMOp33x019', 'ZMO1_ZMOp33x020', 'ZMO1_ZMOp33x021', 'ZMO1_ZMOp33x022', 'ZMO1_ZMOp33x023', 'ZMO1_ZMOp33x028', 'ZMO1_ZMOp33x032', 'ZMO1_ZMOp36x018', 'ZMO1_ZMOp36x048', 'ZMO1_ZMOp36x034']","ZMO1_ZMO0101, ZMO1_ZMOp33x023, ZMO1_ZMOp33x016, ZMO1_ZMOp33x021, ZMO1_ZMOp33x019"
regulatory_plasmid,0.006237979683199835,regulatory,14.0,"['ZMO1_ZMO1853', 'ZMO1_ZMOp32x014', 'ZMO1_ZMOp32x015', 'ZMO1_ZMOp33x029', 'ZMO1_ZMOp33x030', 'ZMO1_ZMOp36x004', 'ZMO1_ZMOp36x033', 'ZMO1_ZMOp36x034', 'ZMO1_ZMOp36x035', 'ZMO1_ZMOp36x036', 'ZMO1_ZMOp39x032', 'ZMO1_ZMOp39x033', 'ZMO1_ZMOp39x036', 'ZMO1_ZMOp39x037']","ZMO1_ZMOp36x033, ZMO1_ZMOp36x035, ZMO1_ZMOp36x034, ZMO1_ZMOp39x033, ZMO1_ZMOp39x036"
ribonucleoside_reductase,0.007006611716779743,stress response,5.0,"['ZMO1_ZMO0443', 'ZMO1_ZMO1025', 'ZMO1_ZMO1026', 'ZMO1_ZMO1027', 'ZMO1_ZMO1039']","ZMO1_ZMO1027, ZMO1_ZMO1039, ZMO1_ZMO1025, ZMO1_ZMO1026, ZMO1_ZMO0443"
SG_1,0.00116595752789872,single gene,1.0,['ZMO1_ZMO2070'],ZMO1_ZMO2070
SG_10,0.015726422265732065,single gene,1.0,['ZMO1_ZMO2046'],ZMO1_ZMO2046
SG_11-1,0.0009500805116300359,single gene,1.0,['ZMO1_ZMO2071'],ZMO1_ZMO2071
SG_11-2,0.002367989303542095,single gene,1.0,['ZMO1_ZMO1411'],ZMO1_ZMO1411
SG_13-1,0.00223934731339559,single gene,1.0,['ZMO1_ZMO2074'],ZMO1_ZMO2074
SG_13-2,0.004916125320644005,single gene,1.0,['ZMO1_ZMO2030'],ZMO1_ZMO2030
SG_15-1,0.0010676920674315138,single gene,1.0,['ZMO1_ZMO0384'],ZMO1_ZMO0384
SG_15-2,0.005140640479338043,single gene,1.0,['ZMO1_ZMO2019'],ZMO1_ZMO2019
SG_17-1,0.0006836621193858639,single gene,1.0,['ZMO1_ZMO1483'],ZMO1_ZMO1483
SG_17-2,0.002555103263654601,single gene,1.0,['ZMO1_ZMO0091'],ZMO1_ZMO0091
SG_19-1,0.0007533861658112206,single gene,1.0,['ZMO1_ZMO1383'],ZMO1_ZMO1383
SG_19-2,0.0028730434020363127,single gene,1.0,['ZMO1_ZMO2048'],ZMO1_ZMO2048
SG_2,0.0057235022558936866,single gene,1.0,['ZMO1_ZMO2042'],ZMO1_ZMO2042
SG_20-1,0.0006641109349648788,uncharacterized,34.0,"['ZMO1_ZMO0054', 'ZMO1_ZMO0066', 'ZMO1_ZMO0134', 'ZMO1_ZMO0303', 'ZMO1_ZMO2048', 'ZMO1_ZMO0387', 'ZMO1_ZMO0705', 'ZMO1_ZMO0733', 'ZMO1_ZMO0931', 'ZMO1_ZMO0968', 'ZMO1_ZMO1249', 'ZMO1_ZMO2016', 'ZMO1_ZMO2065', 'ZMO1_ZMO1425', 'ZMO1_ZMO1437', 'ZMO1_ZMO1628', 'ZMO1_ZMO2027', 'ZMO1_ZMO1826', 'ZMO1_ZMO1828', 'ZMO1_ZMO1831', 'ZMO1_ZMO1838', 'ZMO1_ZMO2076', 'ZMO1_ZMO1948', 'ZMO1_ZMOp36x001', 'ZMO1_ZMOp36x003', 'ZMO1_ZMOp36x004', 'ZMO1_ZMOp36x010', 'ZMO1_ZMOp36x014', 'ZMO1_ZMOp36x016', 'ZMO1_ZMOp36x017', 'ZMO1_ZMOp36x051', 'ZMO1_ZMOp36x046', 'ZMO1_ZMOp36x047', 'ZMO1_ZMOp39x013']","ZMO1_ZMOp36x003, ZMO1_ZMOp36x047, ZMO1_ZMO2016, ZMO1_ZMO0931, ZMO1_ZMOp36x016"
SG_20-2,0.001292804090860633,single gene,1.0,['ZMO1_ZMO2047'],ZMO1_ZMO2047
SG_23,0.027218205587216993,noise,156.0,"['ZMO1_ZMO0039', 'ZMO1_ZMO0055', 'ZMO1_ZMO0078', 'ZMO1_ZMO0080', 'ZMO1_ZMO0081', 'ZMO1_ZMO0082', 'ZMO1_ZMO0087', 'ZMO1_ZMO0094', 'ZMO1_ZMO0103', 'ZMO1_ZMO0105', 'ZMO1_ZMO0106', 'ZMO1_ZMO0149', 'ZMO1_ZMO0153', 'ZMO1_ZMO0154', 'ZMO1_ZMO0156', 'ZMO1_ZMO0176', 'ZMO1_ZMO0177', 'ZMO1_ZMO0186', 'ZMO1_ZMO0188', 'ZMO1_ZMO0197', 'ZMO1_ZMO0202', 'ZMO1_ZMO0208', 'ZMO1_ZMO0244', 'ZMO1_ZMO0270', 'ZMO1_ZMO0273', 'ZMO1_ZMO0279', 'ZMO1_ZMO0294', 'ZMO1_ZMO0346', 'ZMO1_ZMO0350', 'ZMO1_ZMO0357', 'ZMO1_ZMO0399', 'ZMO1_ZMO0401', 'ZMO1_ZMO0412', 'ZMO1_ZMO0431', 'ZMO1_ZMO0490', 'ZMO1_ZMO0494', 'ZMO1_ZMO0495', 'ZMO1_ZMO0544', 'ZMO1_ZMO2049', 'ZMO1_ZMO0547', 'ZMO1_ZMO0549', 'ZMO1_ZMO0552', 'ZMO1_ZMO0627', 'ZMO1_ZMO0628', 'ZMO1_ZMO0636', 'ZMO1_ZMO0668', 'ZMO1_ZMO0669', 'ZMO1_ZMO0671', 'ZMO1_ZMO0687', 'ZMO1_ZMO0706', 'ZMO1_ZMO0721', 'ZMO1_ZMO2006', 'ZMO1_ZMO0728', 'ZMO1_ZMO0731', 'ZMO1_ZMO0732', 'ZMO1_ZMO0748', 'ZMO1_ZMO0750', 'ZMO1_ZMO0763', 'ZMO1_ZMO0798', 'ZMO1_ZMO0818', 'ZMO1_ZMO0860', 'ZMO1_ZMO0863', 'ZMO1_ZMO0864', 'ZMO1_ZMO0903', 'ZMO1_ZMO0915', 'ZMO1_ZMO0916', 'ZMO1_ZMO0925', 'ZMO1_ZMO0931', 'ZMO1_ZMO0985', 'ZMO1_ZMO0989', 'ZMO1_ZMO0992', 'ZMO1_ZMO0994', 'ZMO1_ZMO0997', 'ZMO1_ZMO1027', 'ZMO1_ZMO1052', 'ZMO1_ZMO1059', 'ZMO1_ZMO1069', 'ZMO1_ZMO1075', 'ZMO1_ZMO1077', 'ZMO1_ZMO1107', 'ZMO1_ZMO1114', 'ZMO1_ZMO1137', 'ZMO1_ZMO1140', 'ZMO1_ZMO1146', 'ZMO1_ZMO1147', 'ZMO1_ZMO1165', 'ZMO1_ZMO1184', 'ZMO1_ZMO1211', 'ZMO1_ZMO1235', 'ZMO1_ZMO1251', 'ZMO1_ZMO1252', 'ZMO1_ZMO1261', 'ZMO1_ZMO1276', 'ZMO1_ZMO1296', 'ZMO1_ZMO1299', 'ZMO1_ZMO1300', 'ZMO1_ZMO1324', 'ZMO1_ZMO1341', 'ZMO1_ZMO1344', 'ZMO1_ZMO1373', 'ZMO1_ZMO1382', 'ZMO1_ZMO1390', 'ZMO1_ZMO1395', 'ZMO1_ZMO1396', 'ZMO1_ZMO1399', 'ZMO1_ZMO1417', 'ZMO1_ZMO1439', 'ZMO1_ZMO1441', 'ZMO1_ZMO1452', 'ZMO1_ZMO1461', 'ZMO1_ZMO1468', 'ZMO1_ZMO1473', 'ZMO1_ZMO1490', 'ZMO1_ZMO1495', 'ZMO1_ZMO1498', 'ZMO1_ZMO1499', 'ZMO1_ZMO1504', 'ZMO1_ZMO1507', 'ZMO1_ZMO1511', 'ZMO1_ZMO1518', 'ZMO1_ZMO1521', 'ZMO1_ZMO1524', 'ZMO1_ZMO1578', 'ZMO1_ZMO1582', 'ZMO1_ZMO1588', 'ZMO1_ZMO1639', 'ZMO1_ZMO1640', 'ZMO1_ZMO1660', 'ZMO1_ZMO1694', 'ZMO1_ZMO1712', 'ZMO1_ZMO1740', 'ZMO1_ZMO1763', 'ZMO1_ZMO1773', 'ZMO1_ZMO1792', 'ZMO1_ZMO1794', 'ZMO1_ZMO1798', 'ZMO1_ZMO1825', 'ZMO1_ZMO1832', 'ZMO1_ZMO2029', 'ZMO1_ZMO1840', 'ZMO1_ZMO1841', 'ZMO1_ZMO1845', 'ZMO1_ZMO1874', 'ZMO1_ZMO1875', 'ZMO1_ZMO1895', 'ZMO1_ZMO1906', 'ZMO1_ZMO1910', 'ZMO1_ZMO1911', 'ZMO1_ZMO1931', 'ZMO1_ZMO1959', 'ZMO1_ZMO1970', 'ZMO1_ZMO1973', 'ZMO1_ZMOp33x029', 'ZMO1_ZMOp33x035', 'ZMO1_ZMOp36x053', 'ZMO1_ZMOp39x034']","ZMO1_ZMO0903, ZMO1_ZMOp36x053, ZMO1_ZMO0721, ZMO1_ZMO1973, ZMO1_ZMO1417"
SG_3,0.0028289075322939228,single gene,1.0,['ZMO1_ZMO0489'],ZMO1_ZMO0489
SG_4,0.0024095975730101804,single gene,1.0,['ZMO1_ZMO1547'],ZMO1_ZMO1547
SG_5-1,0.0011782016017783947,uncharacterized,11.0,"['ZMO1_ZMO0066', 'ZMO1_ZMO0134', 'ZMO1_ZMO2053', 'ZMO1_ZMO2062', 'ZMO1_ZMO1464', 'ZMO1_ZMO1829', 'ZMO1_ZMO1833', 'ZMO1_ZMO2076', 'ZMO1_ZMO1973', 'ZMO1_ZMOp36x001', 'ZMO1_ZMOp36x007']","ZMO1_ZMO2062, ZMO1_ZMO2053, ZMO1_ZMO1829, ZMO1_ZMO0134, ZMO1_ZMO1973"
SG_5-2,0.00418286132300294,single gene,1.0,['ZMO1_ZMO0796'],ZMO1_ZMO0796
