locus_tag,gene_name,accession,start,end,strand,gene_product,COG,regulator,uniprot,kegg_maps,EC_number,aerobic_essential,anaerobic_essential,interpro_annotation,anaero_xylose_model_flux,anaero_glucose_model_flux,aero_xylose_model_flux,aero_glucose_model_flux,anaero_xylose_model_growth_perc_change,anaero_glucose_model_growth_perc_change,aero_xylose_model_growth_perc_change,aero_glucose_model_growth_perc_change,FIMO_regulators,LDI_early_glucose_fold_change,LDI_late_glucose_fold_change,LDI_early_xylose_fold_change,LDI_late_xylose_fold_change,no_LDI_early_glucose_fold_change,no_LDI_late_glucose_fold_change,no_LDI_early_xylose_fold_change,no_LDI_late_xylose_fold_change
ZMO1_ZMOp33x008,ZMO1_ZMOp33x008,CP023717.1,3635.0,4540.0,-,LysR family transcription regulator,Transcription,['ZMO0199'],,,,0.0,0.0,SignalP-TM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,1.0554053952095375,1.1534540192403362,1.4390304091729023,1.0,1.4374284297339182,1.344236820125526,1.710254955443226
ZMO1_ZMOp39x007,ZMO1_ZMOp39x007,CP023719.1,3671.0,5911.0,+,TonB-dependent receptor beta-barrel protein,Inorganic ion transport and metabolism,"['ZMO0199', 'ZMO1121', 'ZMO1336', 'ZMO1336']",,,,0.0,0.0,SignalP-TM,,,,,,,,,"['Cap37_Clostridium_acetobutylicum', 'CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori', 'Zur_Corynebacterium_glutamicum']",,,,,,,,
ZMO1_ZMOp36x008,ZMO1_ZMOp36x008,CP023718.1,4162.0,6666.0,+,bulb-type lectin domain protein,No COG annotation,"['ZMO1126', 'ZMO1787']",,,,-1.72023080287933,-2.01275105049057,"Expansin, family-45 endoglucanase-like domain profile.;SignalP-TM;SignalP-noTM",,,,,,,,,[],,,,,,,,
ZMO1_ZMOp32x002,ZMO1_ZMOp32x002,CP023716.1,4407.0,4685.0,+,RelB or DinJ-like antitoxin,"Replication, recombination and repair","['ZMO0199', 'ZMO1787', 'ZMO1937']",,,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,1.887458333065454,2.2493104734209783,1.7995982766941137,1.0,2.0671050693911512,2.348164610838327,2.1830502518150205
ZMO1_ZMOp33x009,ZMO1_ZMOp33x009,CP023717.1,4763.0,6196.0,+,carbohydrate-selective porin OprB,No COG annotation,"['ZMO0774', 'ZMO0781', 'ZMO0940', 'ZMO1121', 'ZMO1336', 'ZMO1412', 'ZMO1697']",,,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",,,,,,,,
ZMO1_ZMOp32x004,ZMO1_ZMOp32x004,CP023716.1,5046.0,5714.0,+,P-loop containing nucleoside triphosphate hydrolase domain protein,"Cell cycle control, cell division, chromosome partitioning",['ZMO1697'],,,,0.0,0.0,SignalP-TM,,,,,,,,,['NikR_Helicobacter_pylori'],1.0,1.397273812368261,1.434568263809202,1.6469290312904359,1.0,1.2082931281016012,1.3130696486544424,1.590063890165495
ZMO1_ZMOp32x005,ZMO1_ZMOp32x005,CP023716.1,5690.0,5980.0,+,uncharacterized protein,No COG annotation,['ZMO1787'],,,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,[],1.0,2.2024432078148397,2.458600605287368,1.6757597447328503,1.0,2.1888814507892875,2.7960538851097767,1.9391209620471521
ZMO1_ZMO0005,ZMO1_ZMO0005,CP023715.1,5781.0,6689.0,-,sulfate adenylyltransferase small subunit,Amino acid transport and metabolism,[],Q5NRM5,map00230;map00261;map00450;map00920;map01100;map01120;map01130,2.7.7.4,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,3.877254291500028e-16,5.9978565691309864e-18,4.0026674093572974e-16,2.0056248959015303e-15,[],1.0,0.8093492276512388,0.7819060435094946,0.85688854602993,1.0,0.7875168224305329,0.7620407914674622,0.9629301572205061
ZMO1_ZMOp39x008,ZMO1_ZMOp39x008,CP023719.1,6009.0,6740.0,-,NAD(P)-dependent oxidoreductase,Lipid transport and metabolism,[],,map00061;map00333;map00780;map01040;map01100;map01130;map01212,1.1.1.100,0.0,0.0,SignalP-TM,,,,,,,,,['NikR_Helicobacter_pylori'],1.0,1.0838032135142814,1.0695618767615762,0.9747207052509221,1.0,1.120586711956966,1.0315073896263653,0.9720679043867663
ZMO1_ZMOp32x006,ZMO1_ZMOp32x006,CP023716.1,6105.0,8420.0,-,TonB-dependent receptor plug domain protein,Inorganic ion transport and metabolism,"['ZMO0940', 'ZMO1206', 'ZMO1336', 'ZMO1412']",,,,0.0,0.0,SignalP-TM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",,,,,,,,
ZMO1_ZMOp33x010,ZMO1_ZMOp33x010,CP023717.1,6213.0,7508.0,+,sodium:dicarboxylate symporter,Energy production and conversion,"['ZMO0373', 'ZMO1793']",,map02020,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,['NikR_Helicobacter_pylori'],,,,,,,,
ZMO1_ZMOp36x009,ZMO1_ZMOp36x009,CP023718.1,6690.0,7148.0,+,uncharacterized protein,No COG annotation,"['ZMO0373', 'ZMO1857']",,,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,0.7887996299205892,0.6109123351545479,0.4835192209807019,1.0,0.7337124324981646,0.511002149885794,0.5451407267862898
ZMO1_ZMO0006,ZMO1_ZMO0006,CP023715.1,6700.0,8115.0,-,siroheme synthase CysG,Coenzyme transport and metabolism,[],Q5NRM4,map00860;map01100;map01110;map01120,"1.3.1.76,2.1.1.107,4.99.1.4",0.0,0.0,SignalP-TM;SignalP-noTM,,,,,0.9999999999999784,0.9999999999999704,0.9999999999999533,0.9999999999999932,[],1.0,0.7324655673608496,0.6524522386200184,0.6121804674022562,1.0,0.6585255143439023,0.5854535241752108,0.5883027091469527
ZMO1_ZMOp39x009,ZMO1_ZMOp39x009,CP023719.1,6882.0,7544.0,+,putative partitioning protein ParA ATPase,"Cell cycle control, cell division, chromosome partitioning",['ZMO1787'],,,,0.0,0.0,SignalP-TM,,,,,,,,,['NikR_Helicobacter_pylori'],1.0,1.0624652465318791,1.008410924523827,1.2184344261007924,1.0,1.053303597565097,1.1680815401550264,1.3121136665457642
ZMO1_ZMOp36x010,ZMO1_ZMOp36x010,CP023718.1,7377.0,7913.0,+,phage baseplate assembly protein V/Gp45,No COG annotation,"['ZMO0199', 'ZMO1206', 'ZMO1793', 'ZMO1937']",,,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,[],,,,,,,,
ZMO1_ZMOp39x010,ZMO1_ZMOp39x010,CP023719.1,7541.0,7828.0,+,putative partitioning protein ParB,No COG annotation,[],,,,0.0,0.0,SignalP-TM,,,,,,,,,['NikR_Helicobacter_pylori'],1.0,1.1884861272331995,0.8971236133440001,0.9190247090992888,1.0,1.1528974334744473,1.1304847035460739,0.8635026286807451
ZMO1_ZMOp33x011,ZMO1_ZMOp33x011,CP023717.1,7630.0,8961.0,+,carbamoylase-type amidase,Amino acid transport and metabolism,['ZMO1412'],,map00230;map01120,3.5.3.9,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,['NikR_Helicobacter_pylori'],1.0,0.9941773962251415,0.8804306228844964,0.9560362927786754,1.0,0.8708985895704946,0.7696119865918101,0.7661547346100066
ZMO1_ZMOp39x011,ZMO1_ZMOp39x011,CP023719.1,7988.0,8869.0,+,AraC-type helix-turn-helix transcriptional regulator,Transcription,"['ZMO0940', 'ZMO1121', 'ZMO1336', 'ZMO1412', 'ZMO1793']",,,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",,,,,,,,
ZMO1_ZMOp36x011,ZMO1_ZMOp36x011,CP023718.1,8339.0,9496.0,+,tail sheath protein,Function unknown,[],,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.5913175900544793,1.207627702311788,0.8655838495451488,1.0,2.0450854364223012,0.9892885641805177,1.1470488139413801
ZMO1_ZMO0007,ZMO1_ZMO0007,CP023715.1,8386.0,9120.0,-,phosphoadenosine phosphosulfate reductase,Amino acid transport and metabolism,[],Q5NRM3,map00920;map01100;map01120,"1.8.4.10,1.8.4.8",0.0,0.0,SignalP-TM;SignalP-noTM,,,,,0.9999999999999875,0.9999999999999629,0.9999999999999736,1.0000000000000093,[],1.0,1.102342621114171,0.9882296702656104,0.8872468573033692,1.0,1.079295359865701,0.9054039985004195,0.9595225131270309
ZMO1_ZMOp32x007,ZMO1_ZMOp32x007,CP023716.1,8720.0,9919.0,+,Ca2+-dependent phosphoinositide phospholipase C,Function unknown,"['ZMO0774', 'ZMO0781', 'ZMO0940', 'ZMO1206', 'ZMO1412', 'ZMO1793']",,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,1.453961481708994,1.297214784011122,1.867096786369911,1.0,0.5924203662804316,0.5386141542695491,0.8197389849458465
ZMO1_ZMOp33x012,ZMO1_ZMOp33x012,CP023717.1,8958.0,10184.0,+,2-aminoethylphosphonate--pyruvate transaminase,Amino acid transport and metabolism,"['ZMO0373', 'ZMO1787']",,map00230,2.6.1.112,0.0,0.0,SignalP-TM,,,,,,,,,['CosR_Campylobacter_jejuni'],1.0,1.028833840563729,0.9916803641896882,1.0454799055991943,1.0,0.9821978814141809,1.0132457054595425,1.0138788701201638
ZMO1_ZMOp39x012,ZMO1_ZMOp39x012,CP023719.1,8988.0,11120.0,+,TonB-dependent receptor,Inorganic ion transport and metabolism,"['ZMO0781', 'ZMO0940', 'ZMO1121', 'ZMO1206', 'ZMO1336', 'ZMO1412', 'ZMO1793']",,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'Fur_Helicobacter_pylori', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori', 'RofA_Streptococcus_pyogenes']",,,,,,,,
ZMO1_ZMO0008,ZMO1_ZMO0008,CP023715.1,9131.0,10843.0,-,sulfite reductase (NADPH) hemoprotein beta-component,Energy production and conversion,[],Q5NRM2,map00920;map01100;map01120,1.8.1.2,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,1.1490393807613012e-15,2.0570754311379925e-15,9.250109424596571e-17,3.365731488274599e-16,[],1.0,0.9012353316758392,0.8443525210176067,0.8324767373075391,1.0,0.9243899765326742,0.9237300636783738,0.8005119444266153
ZMO1_ZMOp36x012,ZMO1_ZMOp36x012,CP023718.1,9516.0,10028.0,+,tail tube protein,Function unknown,[],,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.945390841135721,0.9727768184867936,1.303460372040411,1.0,1.0019190993128246,1.1067592177522905,1.1946560528500996
ZMO1_ZMOp36x013,ZMO1_ZMOp36x013,CP023718.1,10112.0,10492.0,+,bacteriophage putative tail protein Gp41,Function unknown,"['ZMO0781', 'ZMO1412', 'ZMO1793']",,,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,"['Cap37_Clostridium_acetobutylicum', 'CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",,,,,,,,
ZMO1_ZMOp33x013,ZMO1_ZMOp33x013,CP023717.1,10205.0,10579.0,+,DUF3225 family protein with NTF2-like domain,Function unknown,['ZMO0940'],,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,['NikR_Helicobacter_pylori'],,,,,,,,
ZMO1_ZMOp32x008,ZMO1_ZMOp32x008,CP023716.1,10335.0,10931.0,-,PIN domain protein,Function unknown,['ZMO1937'],,,,0.0,0.0,SignalP-TM,,,,,,,,,['NikR_Helicobacter_pylori'],1.0,1.6163948910897188,1.8070795527576344,1.8080453107626788,1.0,1.4619279569232033,1.6136983683496329,1.6967589568202233
ZMO1_ZMOp36x014,ZMO1_ZMOp36x014,CP023718.1,10501.0,10635.0,+,Burkholderia phage phiE202 Gp27 family protein,No COG annotation,['ZMO0373'],,,,0.0,0.0,SignalP-TM,,,,,,,,,"['Cap37_Clostridium_acetobutylicum', 'CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",,,,,,,,
ZMO1_ZMOp33x014,ZMO1_ZMOp33x014,CP023717.1,10598.0,10795.0,+,protein of unknown function DUF4089,No COG annotation,"['ZMO1206', 'ZMO1412', 'ZMO1793']",,,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,['NikR_Helicobacter_pylori'],,,,,,,,
ZMO1_ZMOp36x015,ZMO1_ZMOp36x015,CP023718.1,10613.0,13243.0,+,phage tail tape measure protein,No COG annotation,[],,,,0.0,0.0,SignalP-TM,,,,,,,,,"['Cap37_Clostridium_acetobutylicum', 'CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",,,,,,,,
ZMO1_ZMOp33x015,ZMO1_ZMOp33x015,CP023717.1,10792.0,12132.0,+,AtzE type amidohydrolase,"Translation, ribosomal structure and biogenesis",['ZMO1412'],,map00791;map00970;map01100;map01120,"3.5.1.84,6.3.5.6,6.3.5.7",0.0,0.0,SignalP-TM,,,,,,,,,['NikR_Helicobacter_pylori'],1.0,1.294078632768395,1.3840074517110592,1.6989923068247208,1.0,1.1703790326429,1.2601789433893875,1.6990993997583
ZMO1_ZMO0009,ZMO1_ZMO0009,CP023715.1,10843.0,12663.0,-,sulfite reductase (NADPH) flavoprotein alpha chain,Energy production and conversion,[],Q5NRM1,map00071;map00380;map00627;map00920;map01100;map01120,"1.14.14.1,1.6.2.4,1.8.1.2",0.0,0.0,Integrins beta chain EGF (I-EGF) domain signature.;SignalP-TM;SignalP-noTM,,,,,1.1490393807613012e-15,2.0570754311379925e-15,9.250109424596571e-17,3.365731488274599e-16,[],1.0,0.8927622759468299,0.8628359088845899,0.9022180909038998,1.0,0.85290350477551,0.8447633525708869,0.9233707909159905
ZMO1_ZMOp32x009,ZMO1_ZMOp32x009,CP023716.1,10934.0,11389.0,-,SinI-like DNA-binding domain protein,Transcription,['ZMO0940'],,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,['NikR_Helicobacter_pylori'],1.0,1.5318233823527978,1.749137388756088,1.6983157080184768,1.0,1.8175960471729253,2.129583305681932,2.0402406054340165
ZMO1_ZMOp39x013,ZMO1_ZMOp39x013,CP023719.1,11210.0,12988.0,+,type I ABC transporter ATPase,Defense mechanisms,[],,,,0.0,0.0,SignalP-TM,,,,,,,,,['NikR_Helicobacter_pylori'],,,,,,,,
ZMO1_ZMOp32x010,ZMO1_ZMOp32x010,CP023716.1,12051.0,13130.0,+,Macro or A1pp domain protein,Function unknown,['ZMO0781'],,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,['NikR_Helicobacter_pylori'],,,,,,,,
ZMO1_ZMOp33x016,ZMO1_ZMOp33x016,CP023717.1,12298.0,13059.0,+,short-chain dehydrogenase/reductase SDR,Lipid transport and metabolism,"['ZMO0373', 'ZMO0781', 'ZMO1121', 'ZMO1206', 'ZMO1336', 'ZMO1412', 'ZMO1574', 'ZMO1793']",,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['Cap37_Clostridium_acetobutylicum', 'CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori', 'OmpR_Escherichia_coli']",,,,,,,,
ZMO1_ZMOp39x014,ZMO1_ZMOp39x014,CP023719.1,12985.0,14700.0,+,type I ABC transporter ATPase,Defense mechanisms,['ZMO1787'],,,,0.0,0.0,SignalP-TM,,,,,,,,,[],,,,,,,,
ZMO1_ZMO0010,ZMO1_ZMO0010,CP023715.1,13006.0,13716.0,+,DUF45 domain-containing protein,Function unknown,['ZMO0373'],Q5NRM0,,,0.0,0.0,SignalP-TM,,,,,,,,,['RofA_Streptococcus_pyogenes'],,,,,,,,
ZMO1_ZMOp33x017,ZMO1_ZMOp33x017,CP023717.1,13100.0,13426.0,+,carboxymuconolactone decarboxylase-like protein,Function unknown,[],,map00362;map01100;map01120;map01220,4.1.1.44,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['Cap37_Clostridium_acetobutylicum', 'CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori', 'OmpR_Escherichia_coli']",1.0,1.6788420109406301,1.7785829790706749,2.5032153872910246,1.0,0.9536495094798119,0.9060296800629956,1.7669676616998469
ZMO1_ZMOp36x016,ZMO1_ZMOp36x016,CP023718.1,13243.0,13788.0,+,phage P2 GpU family protein,Function unknown,['ZMO0199'],,,,0.0,0.0,SignalP-TM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'NikR_Helicobacter_pylori', 'RofA_Streptococcus_pyogenes']",,,,,,,,
