,gene_name,accession,start,end,strand,gene_product,COG,regulator,uniprot,kegg_maps,EC_number,aerobic_essential,anaerobic_essential,interpro_annotation,anaero_xylose_model_flux,anaero_glucose_model_flux,aero_xylose_model_flux,aero_glucose_model_flux,anaero_xylose_model_growth_perc_change,anaero_glucose_model_growth_perc_change,aero_xylose_model_growth_perc_change,aero_glucose_model_growth_perc_change,FIMO_regulators,LDI_early_glucose_fold_change,LDI_late_glucose_fold_change,LDI_early_xylose_fold_change,LDI_late_xylose_fold_change,no_LDI_early_glucose_fold_change,no_LDI_late_glucose_fold_change,no_LDI_early_xylose_fold_change,no_LDI_late_xylose_fold_change,iMs
ZMO1_ZMO0014,ZMO1_ZMO0014,CP023715.1,16367.0,17080.0,-,ribonuclease PH,"Translation, ribosomal structure and biogenesis",,Q5NRL6,,2.7.7.56,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,1.27857648,1.245894568,1.023153516,1.0,1.167480316,1.036975147,1.189299409,
ZMO1_ZMO0015,ZMO1_ZMO0015,CP023715.1,17333.0,18370.0,+,heat-inducible transcription repressor HrcA,Transcription,,Q5NRL5,,,0.0,-1.018368944,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.962961641,1.576736545,3.223668391,1.0,1.297521762,2.085640869,2.840965863,['heat_response']
ZMO1_ZMO0016,ZMO1_ZMO0016,CP023715.1,18367.0,18939.0,+,GrpE protein,"Post-translational modification, protein turnover, and chaperones",,Q5NRL4,,,-2.131443312,-2.206007884,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,[],1.0,1.156409504,1.2140408,1.209149194,1.0,1.333620152,1.354123089,1.244944722,['heat_response']
ZMO1_ZMO0017,ZMO1_ZMO0017,CP023715.1,18995.0,20401.0,+,RsmB-like methyltransferase,"Translation, ribosomal structure and biogenesis",ZMO1787,Q5NRL3,,2.1.1.176,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.890360732,0.873305094,0.877894184,1.0,0.963839619,0.901710464,1.163316881,['heat_response']
ZMO1_ZMO0018,ZMO1_ZMO0018,CP023715.1,20553.0,21215.0,+,ribulose-phosphate 3-epimerase,Carbohydrate transport and metabolism,,Q5NRL2,map00030;map00040;map00710;map01100;map01110;map01120;map01130;map01200;map01230,5.1.3.1,-2.301547066,-2.613602708,SignalP-TM;SignalP-noTM,,,,,0.0,9.36e-14,0.0,1.52e-15,[],1.0,0.469333542,0.887627451,0.867292274,1.0,0.71686295,1.343675001,1.406931449,
ZMO1_ZMO0019,ZMO1_ZMO0019,CP023715.1,21212.0,22978.0,+,heparinase II/III family protein,Function unknown,,Q5NRL1,,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,0.892340816,0.887599853,1.036101406,1.0,0.909225883,0.934430036,1.0813976,
ZMO1_ZMO0020,ZMO1_ZMO0020,CP023715.1,23204.0,23800.0,-,LUD domain-containing protein,Function unknown,ZMO1787,Q5NRL0,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,1.049843645,0.988900321,0.961679843,1.0,1.138934108,1.123040432,1.032983558,
ZMO1_ZMO0021,ZMO1_ZMO0021,CP023715.1,23797.0,25239.0,-,iron-sulfur cluster-binding protein YkgF,Energy production and conversion,,Q5NRK9,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'Fur_Klebsiella_pneumoniae', 'NikR_Helicobacter_pylori', 'Zur_Corynebacterium_glutamicum']",1.0,1.238560075,1.294056479,1.16428074,1.0,1.157525416,1.284961716,1.062315379,
ZMO1_ZMO0022,ZMO1_ZMO0022,CP023715.1,25239.0,25982.0,-,Fe-S oxidoreductase,Energy production and conversion,"ZMO0199,ZMO0781,ZMO0940,ZMO1206,ZMO1336,ZMO1412,ZMO1793",Q5NRK8,map00630;map01100;map01110;map01120;map01130,,0.0,0.0,,,,,,,,,,"['CosR_Campylobacter_jejuni', 'Fur_Klebsiella_pneumoniae', 'NikR_Helicobacter_pylori', 'Zur_Corynebacterium_glutamicum']",1.0,1.169527048,1.212238577,1.033485847,1.0,1.08578105,1.182795266,0.976698502,
ZMO1_ZMO0023,ZMO1_ZMO0023,CP023715.1,26353.0,26829.0,-,AsnC family transcriptional regulator,Transcription,"ZMO0023,ZMO0373,ZMO1206",Q5NRK7,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],,,,,,,,,
ZMO1_ZMO0025,ZMO1_ZMO0025,CP023715.1,26925.0,27854.0,+,EamA/RhaT family transporter,Amino acid transport and metabolism,"ZMO0373,ZMO0940",Q5NRK5,,,0.0,0.0,SignalP-TM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'Fur_Klebsiella_pneumoniae', 'NikR_Helicobacter_pylori', 'Zur_Corynebacterium_glutamicum']",,,,,,,,,
ZMO1_ZMO0026,ZMO1_ZMO0026,CP023715.1,28029.0,28976.0,+,Sel1 domain protein repeat-containing protein,Energy production and conversion,"ZMO0373,ZMO0781,ZMO1336,ZMO1412",Q5NRK4,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,['MogR_Listeria_monocytogenes'],1.0,0.540063103,0.369677116,0.107557438,1.0,0.495227244,0.277253433,0.145598504,['membrane_cobalmin']
ZMO1_ZMO0027,ZMO1_ZMO0027,CP023715.1,29293.0,30897.0,+,bifunctional phosphoribosyl aminoimidazole carboxamide formyltransferase/IMP cyclohydrolase,Nucleotide transport and metabolism,,Q5NRK3,map00230;map00670;map01100;map01110;map01130;map01523,"2.1.2.3,3.5.4.10",-1.862225111,-2.822714347,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,1.38e-14,4.38e-13,6.08e-14,4.3e-14,[],1.0,0.892185866,0.829303085,0.713811951,1.0,0.7958677,0.690685784,0.62077825,
ZMO1_ZMO0028,ZMO1_ZMO0028,CP023715.1,31083.0,32006.0,+,restriction endonuclease,"Replication, recombination and repair",ZMO0023,Q5NRK2,,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,0.933378661,0.976623488,0.997491604,1.0,0.854114822,0.906073956,1.077007921,
ZMO1_ZMO0029,ZMO1_ZMO0029,CP023715.1,32036.0,33934.0,-,Sel1 domain protein repeat-containing protein,Energy production and conversion,"ZMO0373,ZMO0781,ZMO1206,ZMO1336,ZMO1412,ZMO1793",Q5NRK1,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'NikR_Helicobacter_pylori']",1.0,0.799616633,0.526098837,0.82248107,1.0,0.636869621,0.583982033,0.659612419,
ZMO1_ZMO0030,ZMO1_ZMO0030,CP023715.1,34224.0,34631.0,+,glyoxalase/bleomycin resistance protein/dioxygenase,Amino acid transport and metabolism,,Q5NRK0,map00620,4.4.1.5,0.0,0.0,SignalP-TM,,,,,1.0,1.0,1.0,1.0,"['CosR_Campylobacter_jejuni', 'NikR_Helicobacter_pylori']",1.0,1.082032421,0.998732177,0.955210076,1.0,1.159796722,1.026664003,1.058346981,
ZMO1_ZMO0031,ZMO1_ZMO0031,CP023715.1,34635.0,37055.0,-,TonB-dependent receptor,Inorganic ion transport and metabolism,"ZMO0023,ZMO0781,ZMO1121,ZMO1206,ZMO1336,ZMO1412,ZMO1793",,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,0.593076498,0.549973119,0.600796486,1.0,0.538599076,0.55979421,0.610070545,['plasmid_unknown_1']
ZMO1_ZMO0033,ZMO1_ZMO0033,CP023715.1,37403.0,37837.0,-,putative zinc- or iron-chelating domain-containing protein,Function unknown,"ZMO0373,ZMO1126,ZMO1787",Q5NRJ7,,,0.0,0.0,SignalP-TM,,,,,,,,,['NikR_Helicobacter_pylori'],1.0,0.832764512,0.850447962,0.916849927,1.0,0.9912395,1.187708841,1.286100805,
ZMO1_ZMO0035,ZMO1_ZMO0035,CP023715.1,38017.0,38619.0,+,ankyrin repeat domain-containing protein,Function unknown,,Q5NRJ5,,,0.0,0.0,SignalP-TM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,1.092295742,0.842679854,0.234728159,1.0,1.261157743,0.85558946,0.228882399,
ZMO1_ZMO0036,ZMO1_ZMO0036,CP023715.1,38623.0,38961.0,-,DUF1491 domain-containing protein,Function unknown,"ZMO0373,ZMO1787",Q5NRJ4,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,1.227159087,1.280801182,1.206159372,1.0,1.434860966,1.479494491,1.447103266,['noise_3']
ZMO1_ZMO0037,ZMO1_ZMO0037,CP023715.1,38961.0,39422.0,-,PTS IIA-like nitrogen-regulatory protein PtsN/NagE,Carbohydrate transport and metabolism,,Q5NRJ3,map02060,,-2.254301601,-2.733771031,SignalP-TM,,,,,,,,,[],1.0,1.136247259,1.135611407,1.353096053,1.0,1.377418148,1.632762137,1.850728795,
ZMO1_ZMO0038,hpf,CP023715.1,39623.0,40225.0,-,ribosomal protein S30Ae/sigma 54 modulation protein,"Translation, ribosomal structure and biogenesis",,Q5NRJ2,,,-1.324409756,-1.747670969,SignalP-TM,,,,,,,,,[],1.0,1.27397448,1.771787668,1.879339329,1.0,1.372788387,1.711366405,1.895121357,
ZMO1_ZMO0039,ZMO1_ZMO0039,CP023715.1,40338.0,41042.0,-,DNA polymerase III epsilon subunit,"Replication, recombination and repair",,Q5NRJ1,map00230;map00240;map01100;map03030;map03430;map03440,2.7.7.7,0.0,-1.981629988,SignalP-TM;SignalP-noTM,,,,,,,,,['RofA_Streptococcus_pyogenes'],1.0,0.739125628,0.549699111,0.551603729,1.0,0.827160432,0.634304102,0.841061568,['noise_5']
ZMO1_ZMO0040,ZMO1_ZMO0040,CP023715.1,41050.0,41643.0,-,dephospho-CoA kinase,Coenzyme transport and metabolism,,Q5NRJ0,map00770;map01100,2.7.1.24,0.0,0.0,SignalP-TM,,,,,4.98e-13,4.59e-15,9.29e-13,2.39e-16,[],1.0,0.939224475,0.944529654,1.173953384,1.0,0.944219237,0.988195384,1.181366261,
ZMO1_ZMO0041,ZMO1_ZMO0041,CP023715.1,41656.0,42537.0,-,shikimate 5-dehydrogenase,Amino acid transport and metabolism,,Q5NRI9,map00400;map01100;map01110;map01130;map01230,1.1.1.25,-1.836269892,-2.559402119,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,2.3e-15,5.66e-14,1.11e-15,1.68e-15,"['CosR_Campylobacter_jejuni', 'NikR_Helicobacter_pylori']",1.0,0.919856676,0.851824591,0.789348697,1.0,1.075529534,0.985463228,0.895499048,
ZMO1_ZMO0043,ZMO1_ZMO0043,CP023715.1,42534.0,43130.0,-,Maf family protein,"Cell cycle control, cell division, chromosome partitioning","ZMO0023,ZMO0781,ZMO1412,ZMO1574,ZMO1793",Q5NRI7,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'NikR_Helicobacter_pylori']",1.0,0.758530154,0.675505291,0.82674144,1.0,0.783993788,0.777549815,1.023423179,
ZMO1_ZMO0044,ZMO1_ZMO0044,CP023715.1,43594.0,45351.0,+,Sel1 domain protein repeat-containing protein,Function unknown,"ZMO0373,ZMO0781,ZMO1121,ZMO1206,ZMO1336,ZMO1412,ZMO1574,ZMO1793",Q5NRI6,,,0.0,0.0,SignalP-TM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'NikR_Helicobacter_pylori']",1.0,0.985751005,0.564604826,0.509168766,1.0,0.442437154,0.469716495,0.61284709,
ZMO1_ZMO0047,ZMO1_ZMO0047,CP023715.1,45398.0,46003.0,-,lysine exporter protein (LYSE/YGGA),Amino acid transport and metabolism,ZMO0373,Q5NRI4,,,0.0,0.0,SignalP-TM,,,,,,,,,[],,,,,,,,,
ZMO1_ZMO0050,ZMO1_ZMO0050,CP023715.1,46171.0,47082.0,+,LysR family transcriptional regulator,Transcription,"ZMO0050,ZMO1206,ZMO1787",Q5NRI0,,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,0.932764022,1.059884861,1.390776677,1.0,1.033567308,1.221335075,1.373515695,['cell_cycle']
ZMO1_ZMO0052,ZMO1_ZMO0052,CP023715.1,47274.0,48425.0,-,cyanate permease CynX,Inorganic ion transport and metabolism,,Q5NRH8,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,1.0,1.0,1.0,1.0,[],,,,,,,,,
ZMO1_ZMO0053,ZMO1_ZMO0053,CP023715.1,48422.0,49228.0,-,alpha/beta hydrolase fold protein,Lipid transport and metabolism,,Q5NRH7,map00362;map01100;map01120;map01220,3.1.1.24,0.0,0.0,SignalP-TM,,,,,,,,,[],,,,,,,,,['noise_3']
ZMO1_ZMO0054,ZMO1_ZMO0054,CP023715.1,49348.0,49857.0,+,MarR family transcriptional regulator,Transcription,,Q5NRH6,,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,1.388923753,1.385454006,1.298385548,1.0,0.603292986,1.111582664,0.991974932,['unknown_7']
ZMO1_ZMO0055,ZMO1_ZMO0055,CP023715.1,49994.0,50779.0,-,anion permerase,Function unknown,"ZMO0199,ZMO0940,ZMO1412",Q5NRH5,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,['CosR_Campylobacter_jejuni'],,,,,,,,,"['noise_5', 'sulfate_transport_maybe', 'unknown_1']"
ZMO1_ZMO0056,ZMO1_ZMO0056,CP023715.1,50969.0,52792.0,-,glucosamine/fructose-6-phosphate isomerizing aminotransferase,Cell wall/membrane/envelope biogenesis,,Q5NRH4,map00250;map00520;map01100;map01130;map04931,2.6.1.16,0.0,0.0,Mammalian defensins signature.;SignalP-TM,,,,,5.65e-16,1.84e-15,4.19e-17,1.51e-15,[],1.0,0.947148336,0.912278173,0.801416558,1.0,0.961040677,0.915947597,0.837625549,
ZMO1_ZMO0057,ZMO1_ZMO0057,CP023715.1,52878.0,53438.0,-,bacterial PH domain-containing protein,Function unknown,ZMO1206,Q5NRH3,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,1.071876268,1.051027535,1.162528752,1.0,1.105199078,1.192481028,1.212433982,
ZMO1_ZMO0059,ZMO1_ZMO0059,CP023715.1,53615.0,54763.0,+,glycerate kinase,Carbohydrate transport and metabolism,,Q5NRH1,map00260;map00561;map00630;map01100;map01120;map01130,2.7.1.165,0.0,0.0,SignalP-TM,,,,,1.0,1.0,1.0,1.0,[],1.0,1.235553108,1.367910865,1.352588014,1.0,1.214200384,1.193632265,1.444854261,
ZMO1_ZMO0060,ZMO1_ZMO0060,CP023715.1,54811.0,55080.0,-,uncharacterized protein,No COG annotation,ZMO0940,,,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,0.844288269,0.682048905,0.805195786,1.0,0.763838835,0.783601308,0.837635574,
ZMO1_ZMO0061,ZMO1_ZMO0061,CP023715.1,55123.0,56424.0,-,histidine acid phosphatase,Function unknown,,Q5NRG9,map00562;map00740;map01100,"3.1.3.2,3.1.3.26",0.0,0.0,,,,,,1.0,1.0,1.0,1.0,[],1.0,0.680845884,0.581468601,0.346172997,1.0,0.609605302,0.486505269,0.360792401,
ZMO1_ZMO0062,ZMO1_ZMO0062,CP023715.1,56561.0,57529.0,-,aldo/keto reductase,Energy production and conversion,"ZMO1126,ZMO1787",Q5NRG8,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,1.047988498,0.999239286,0.972844995,1.0,0.951055227,0.895989662,1.064369842,
ZMO1_ZMO0064,ZMO1_ZMO0064,CP023715.1,57796.0,59457.0,-,carbohydrate-selective porin OprB,Cell wall/membrane/envelope biogenesis,,Q5NRG6,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['Fur_Helicobacter_pylori', 'Fur_Klebsiella_pneumoniae', 'NikR_Helicobacter_pylori']",1.0,0.711123402,0.42728062,0.544246729,1.0,0.941253777,0.945743976,1.086560502,['siderophore_receptor']
ZMO1_ZMO0066,ZMO1_ZMO0066,CP023715.1,59627.0,59896.0,+,hypothetical protein,No COG annotation,"ZMO1206,ZMO1336,ZMO1733",,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['Fur_Helicobacter_pylori', 'Fur_Klebsiella_pneumoniae', 'NikR_Helicobacter_pylori']",,,,,,,,,"['unknown_3', 'unknown_7']"
ZMO1_ZMO0068,ZMO1_ZMO0068,CP023715.1,60237.0,61364.0,+,Sel1 domain protein repeat-containing protein,Function unknown,ZMO1857,Q5NRG2,,,0.0,0.0,SignalP-TM,,,,,,,,,"['Fur_Helicobacter_pylori', 'Fur_Klebsiella_pneumoniae', 'NikR_Helicobacter_pylori']",1.0,0.972235621,0.741089377,0.286308533,1.0,0.899927742,0.745309839,0.251997491,['cell_cycle']
ZMO1_ZMO0069,ZMO1_ZMO0069,CP023715.1,61630.0,62067.0,+,major tail tube protein,Function unknown,"ZMO0199,ZMO0203,ZMO0940,ZMO1336,ZMO1412",Q5NRG1,,,0.0,0.0,SignalP-TM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",,,,,,,,,['membrane_cobalmin']
ZMO1_ZMO0070,ZMO1_ZMO0070,CP023715.1,62217.0,62864.0,+,GrxB family glutaredoxin 2,"Post-translational modification, protein turnover, and chaperones",,Q5NRG0,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,1.008881651,0.982292473,0.891087764,1.0,1.085396482,1.126816183,0.986580493,
ZMO1_ZMO0072,ZMO1_ZMO0072,CP023715.1,63125.0,64486.0,-,NHL repeat-containing protein,Carbohydrate transport and metabolism,"ZMO0199,ZMO0199",Q5NRF8,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,1.11129829,1.238812641,1.410459185,1.0,1.167788518,1.315298039,1.468946958,
ZMO1_ZMO0073,ZMO1_ZMO0073,CP023715.1,64495.0,65379.0,-,CBS domain-containing protein,Function unknown,,Q5NRF7,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,1.121488076,1.199291298,1.463098947,1.0,1.078388676,1.142600533,1.263065966,
ZMO1_ZMO0074,ybeY,CP023715.1,65434.0,65964.0,-,endoribonuclease YbeY,"Translation, ribosomal structure and biogenesis",,Q5NRF6,,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,1.148329462,0.976641822,1.043216038,1.0,1.150623623,1.089579343,1.263130668,
ZMO1_ZMO0075,ZMO1_ZMO0075,CP023715.1,65951.0,67042.0,-,PhoH family protein,Signal transduction mechanisms,,Q5NRF5,,,0.0,0.0,,,,,,,,,,[],1.0,0.986649689,0.99761095,1.159474774,1.0,1.079717564,1.131235876,1.33230768,
ZMO1_ZMO0077,ZMO1_ZMO0077,CP023715.1,67151.0,68488.0,-,MiaB family RNA modification enzyme,"Translation, ribosomal structure and biogenesis",,Q5NRF3,,2.8.4.3,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,[],1.0,0.574147488,0.410614532,0.484456309,1.0,0.73790794,0.695094025,0.788443395,
ZMO1_ZMO0078,ZMO1_ZMO0078,CP023715.1,68586.0,69119.0,-,chemotaxis protein CheW,Cell motility,,Q5NRF2,map02020;map02030,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,0.868197586,0.762423911,0.854052164,1.0,0.95359457,1.010821884,1.16078479,['noise_5']
ZMO1_ZMO0079,ZMO1_ZMO0079,CP023715.1,69266.0,69631.0,-,response regulator receiver protein,Signal transduction mechanisms,,Q5NRF1,map02020;map02030,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,1.129319871,1.040198284,0.824235341,1.0,1.069851205,1.065346203,0.871507677,
ZMO1_ZMO0080,ZMO1_ZMO0080,CP023715.1,69776.0,70327.0,-,chemoreceptor glutamine deamidase CheD,Cell motility,,Q5NRF0,map02030,3.5.1.44,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,[],1.0,0.700438321,0.569714652,0.713740437,1.0,0.680369875,0.698502877,0.857967185,['noise_5']
ZMO1_ZMO0081,ZMO1_ZMO0081,CP023715.1,70349.0,71407.0,-,chemotaxis signal transduction response regulator CheB,Cell motility,,Q5NRE9,map02020;map02030,"3.1.1.61,3.5.1.44",0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.878209119,0.695800919,0.726256788,1.0,0.724216553,0.673404028,0.696926735,['noise_5']
ZMO1_ZMO0082,ZMO1_ZMO0082,CP023715.1,71404.0,72276.0,-,CheR-type MCP methyltransferase,Cell motility,,Q5NRE8,map02020;map02030,2.1.1.80,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,['MogR_Listeria_monocytogenes'],1.0,0.642164774,0.532201608,0.656461186,1.0,0.557801621,0.541462754,0.713062465,['noise_5']
