From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Annotation
zmo:ZMO0064	Q5NRG6	unreviewed	Q5NRG6_ZYMMO	Carbohydrate-selective porin OprB	ZMO0064	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	553	1.0
zmo:ZMO0068	Q5NRG2	unreviewed	Q5NRG2_ZYMMO	Sel1 domain protein repeat-containing protein	ZMO0068	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	375	1.0
zmo:ZMO0069	Q5NRG1	unreviewed	Q5NRG1_ZYMMO	Major tail tube protein	ZMO0069	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	145	1.0
zmo:ZMO0070	Q5NRG0	unreviewed	Q5NRG0_ZYMMO	Glutaredoxin, GrxB family	ZMO0070	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	215	1.0
zmo:ZMO0072	Q5NRF8	unreviewed	Q5NRF8_ZYMMO	NHL repeat-containing protein	ZMO0072	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	453	1.0
zmo:ZMO0073	Q5NRF7	unreviewed	Q5NRF7_ZYMMO	CBS domain containing protein	ZMO0073	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	294	1.0
zmo:ZMO0074	Q5NRF6	reviewed	YBEY_ZYMMO	Endoribonuclease YbeY (EC 3.1.-.-)	ybeY ZMO0074	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	176	2.0
zmo:ZMO0075	Q5NRF5	unreviewed	Q5NRF5_ZYMMO	PhoH-like protein	ZMO0075	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	363	1.0
zmo:ZMO0077	Q5NRF3	reviewed	MIAB_ZYMMO	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase (EC 2.8.4.3) ((Dimethylallyl)adenosine tRNA methylthiotransferase MiaB) (tRNA-i(6)A37 methylthiotransferase)	miaB ZMO0077	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	445	3.0
zmo:ZMO0078	Q5NRF2	unreviewed	Q5NRF2_ZYMMO	CheW protein	ZMO0078	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	177	1.0
zmo:ZMO0079	Q5NRF1	unreviewed	Q5NRF1_ZYMMO	Response regulator receiver protein	ZMO0079	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	121	1.0
zmo:ZMO0080	Q5NRF0	reviewed	CHED_ZYMMO	Probable chemoreceptor glutamine deamidase CheD (EC 3.5.1.44)	cheD ZMO0080	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	183	2.0
zmo:ZMO0081	Q5NRE9	unreviewed	Q5NRE9_ZYMMO	Protein-glutamate methylesterase/protein-glutamine glutaminase (EC 3.1.1.61) (EC 3.5.1.44)	cheB ZMO0081	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	352	3.0
zmo:ZMO0082	Q5NRE8	unreviewed	Q5NRE8_ZYMMO	Chemotaxis protein methyltransferase (EC 2.1.1.80)	ZMO0082	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	290	2.0
zmo:ZMO0083	Q5NRE7	unreviewed	Q5NRE7_ZYMMO	Chemotaxis protein CheA (EC 2.7.13.3)	ZMO0083	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	776	2.0
zmo:ZMO0085	Q5NRE5	unreviewed	Q5NRE5_ZYMMO	Methyl-accepting chemotaxis sensory transducer	ZMO0085	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	437	1.0
zmo:ZMO0086	Q5NRE4	unreviewed	Q5NRE4_ZYMMO	GTP pyrophosphokinase rsh (EC 2.7.6.5) ((p)ppGpp synthase) (ATP:GTP 3'-pyrophosphotransferase)	ZMO0086	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	721	2.0
zmo:ZMO0090	Q5NRE0	unreviewed	Q5NRE0_ZYMMO	Short-chain dehydrogenase/reductase SDR	ZMO0090	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	265	1.0
zmo:ZMO0094	Q5NRD6	reviewed	BIOB_ZYMMO	Biotin synthase (EC 2.8.1.6)	bioB ZMO0094	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	335	3.0
zmo:ZMO0096	Q5NRD4	unreviewed	Q5NRD4_ZYMMO	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	ZMO0096	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	183	2.0
zmo:ZMO0099	Q5NRD1	unreviewed	Q5NRD1_ZYMMO	Major facilitator superfamily MFS_1	ZMO0099	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	422	1.0
zmo:ZMO0100	Q5NRD0	unreviewed	Q5NRD0_ZYMMO	Transcriptional regulator, HxlR family	ZMO0100	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	126	1.0
zmo:ZMO0101	Q5NRC9	unreviewed	Q5NRC9_ZYMMO	NAD-dependent epimerase/dehydratase	ZMO0101	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	354	1.0
zmo:ZMO0103	Q5NRC7	unreviewed	Q5NRC7_ZYMMO	Beta-lactamase	ZMO0103	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	520	1.0
zmo:ZMO0105	Q5NRC5	reviewed	LEUC_ZYMMO	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	leuC ZMO0105	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	484	3.0
zmo:ZMO0106	Q5NRC4	reviewed	LEUD_ZYMMO	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	leuD ZMO0106	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	192	2.0
zmo:ZMO0107	Q5NRC3	unreviewed	Q5NRC3_ZYMMO	MobA-like NTP transferase domain-containing protein	ZMO0107	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	269	1.0
zmo:ZMO0108	Q5NRC2	unreviewed	Q5NRC2_ZYMMO	Small multidrug resistance protein	ZMO0108	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	108	1.0
zmo:ZMO0109	Q5NRC1	unreviewed	Q5NRC1_ZYMMO	Glycosyltransferase RgtA/B/C/D-like domain-containing protein	ZMO0109	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	479	1.0
zmo:ZMO0110	Q5NRC0	unreviewed	Q5NRC0_ZYMMO	Glycosyl transferase family 2	ZMO0110	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	329	1.0
zmo:ZMO0111	Q5NRB9	unreviewed	Q5NRB9_ZYMMO	ABC transporter related protein	ZMO0111	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	598	1.0
zmo:ZMO0112	Q5NRB8	unreviewed	Q5NRB8_ZYMMO	PepSY domain-containing protein	ZMO0112	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	116	1.0
zmo:ZMO0113	Q5NRB7	unreviewed	Q5NRB7_ZYMMO	aminodeoxychorismate synthase (EC 2.6.1.85)	ZMO0113	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	487	1.0
zmo:ZMO0114	Q5NRB6	unreviewed	Q5NRB6_ZYMMO	Glutamine amidotransferase of anthranilate synthase	ZMO0114	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	203	1.0
zmo:ZMO0115	Q5NRB5	unreviewed	Q5NRB5_ZYMMO	Probable branched-chain-amino-acid aminotransferase	ZMO0115	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	278	1.0
zmo:ZMO0116	Q5NRB4	unreviewed	Q5NRB4_ZYMMO	Transcriptional regulator, BadM/Rrf2 family	ZMO0116	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	145	1.0
zmo:ZMO0117	Q5NRB3	reviewed	HCP_ZYMMO	Hydroxylamine reductase (EC 1.7.99.1) (Hybrid-cluster protein) (HCP) (Prismane protein)	hcp ZMO0117	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	545	3.0
zmo:ZMO0119	Q5NRB1	reviewed	NHAA_ZYMMO	Na(+)/H(+) antiporter NhaA (Sodium/proton antiporter NhaA)	nhaA ZMO0119	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	388	2.0
zmo:ZMO0120	Q5NRB0	unreviewed	Q5NRB0_ZYMMO	Dihydroorotate dehydrogenase	ZMO0120	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	355	1.0
zmo:ZMO0121	Q5NRA9	unreviewed	Q5NRA9_ZYMMO	Replication-associated recombination protein A	ZMO0121	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	449	2.0
zmo:ZMO0125	Q5NRA5	unreviewed	Q5NRA5_ZYMMO	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase (EC 4.2.-.-)	ZMO0125	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	157	1.0
zmo:ZMO0127	Q5NRA3	unreviewed	Q5NRA3_ZYMMO	S1/P1 nuclease	ZMO0127	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	319	1.0
zmo:ZMO0128	Q5NRA2	unreviewed	Q5NRA2_ZYMMO	TonB-dependent receptor	ZMO0128	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	830	1.0
zmo:ZMO0130	P14924	reviewed	PPA_ZYMMO	Acid phosphatase (EC 3.1.3.2)	phoC ZMO0130	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	264	2.0
zmo:ZMO0131	Q5NR99	unreviewed	Q5NR99_ZYMMO	Metallophosphoesterase	ZMO0131	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	314	1.0
zmo:ZMO0133	Q5NR97	unreviewed	Q5NR97_ZYMMO	Sel1 domain protein repeat-containing protein	ZMO0133	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	276	1.0
zmo:ZMO0134	Q5NR96	unreviewed	Q5NR96_ZYMMO	Sel1 domain protein repeat-containing protein	ZMO0134	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	166	1.0
zmo:ZMO0135	Q5NR95	unreviewed	Q5NR95_ZYMMO	Sel1 domain protein repeat-containing protein	ZMO0135	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	233	1.0
zmo:ZMO0136	Q5NR94	unreviewed	Q5NR94_ZYMMO	Sel1 domain protein repeat-containing protein	ZMO0136	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	238	1.0
zmo:ZMO0139	Q5NR91	unreviewed	Q5NR91_ZYMMO	Aminoglycoside phosphotransferase	ZMO0139	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	276	1.0
zmo:ZMO0140	Q5NR90	unreviewed	Q5NR90_ZYMMO	protein-tyrosine-phosphatase (EC 3.1.3.48)	ZMO0140	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	159	2.0
zmo:ZMO0142	Q5NR88	unreviewed	Q5NR88_ZYMMO	Pyridoxal phosphate homeostasis protein (PLP homeostasis protein)	ZMO0142	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	232	1.0
zmo:ZMO0143	Q5NR87	unreviewed	Q5NR87_ZYMMO	ABC transporter related protein	ZMO0143	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	319	1.0
zmo:ZMO0144	Q5NR86	unreviewed	Q5NR86_ZYMMO	L-aspartate oxidase (EC 1.4.3.16)	ZMO0144	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	530	2.0
zmo:ZMO0148	Q5NR82	unreviewed	Q5NR82_ZYMMO	DUF2141 domain-containing protein	ZMO0148	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	268	1.0
zmo:ZMO0149	Q5NR81	reviewed	TRMB_ZYMMO	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)	trmB ZMO0149	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	231	2.0
zmo:ZMO0150	Q5NR80	unreviewed	Q5NR80_ZYMMO	GCN5-related N-acetyltransferase	ZMO0150	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	208	1.0
zmo:ZMO0152	Q5NR78	unreviewed	Q5NR78_ZYMMO	Pyruvate kinase (EC 2.7.1.40)	ZMO0152	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	475	2.0
zmo:ZMO0153	Q5NR77	reviewed	Y153_ZYMMO	Probable transcriptional regulatory protein ZMO0153	ZMO0153	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	249	1.0
zmo:ZMO0154	Q5NR76	reviewed	RUVC_ZYMMO	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.21.10) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)	ruvC ZMO0154	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	167	3.0
zmo:ZMO0155	Q5NR75	reviewed	RUVA_ZYMMO	Holliday junction branch migration complex subunit RuvA	ruvA ZMO0155	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	213	3.0
zmo:ZMO0156	Q5NR74	unreviewed	Q5NR74_ZYMMO	Uncharacterized protein	ZMO0156	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	120	1.0
zmo:ZMO0157	Q5NR73	unreviewed	Q5NR73_ZYMMO	D-isomer specific 2-hydroxyacid dehydrogenase NAD-binding protein	ZMO0157	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	309	1.0
zmo:ZMO0158	Q5NR72	reviewed	RUVB_ZYMMO	Holliday junction branch migration complex subunit RuvB (EC 3.6.4.-)	ruvB ZMO0158	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	347	3.0
zmo:ZMO0160	Q5NR70	unreviewed	Q5NR70_ZYMMO	Thioesterase superfamily protein	ZMO0160	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	166	1.0
zmo:ZMO0161	Q5NR69	unreviewed	Q5NR69_ZYMMO	MotA/TolQ/ExbB proton channel	ZMO0161	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	236	1.0
zmo:ZMO0162	Q5NR68	unreviewed	Q5NR68_ZYMMO	Protein TolR	ZMO0162	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	175	1.0
zmo:ZMO0164	Q5NR66	unreviewed	Q5NR66_ZYMMO	Cell division and transport-associated protein TolA	ZMO0164	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	359	1.0
