## Wed Apr 30 18:06:06 2025
## emapper-2.1.12
## /emapper_web_jobs/home/emapper/miniforge3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_2bykpeye --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_2bykpeye --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_2bykpeye/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
ZMO1_ZMO0015	264203.ZMO0015	1.62e-233	644.0	COG1420@1|root,COG1420@2|Bacteria,1MVX4@1224|Proteobacteria,2TRUF@28211|Alphaproteobacteria,2K03N@204457|Sphingomonadales	204457|Sphingomonadales	K	Negative regulator of class I heat shock genes (grpE- dnaK-dnaJ and groELS operons). Prevents heat-shock induction of these operons	hrcA	-	-	ko:K03705	-	-	-	-	ko00000,ko03000	-	-	-	HrcA,HrcA_DNA-bdg
ZMO1_ZMO0016	264203.ZMO0016	4.37e-122	349.0	COG0576@1|root,COG0576@2|Bacteria,1RH8T@1224|Proteobacteria,2U5V2@28211|Alphaproteobacteria,2K3XC@204457|Sphingomonadales	204457|Sphingomonadales	O	Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ	grpE	-	-	ko:K03687	-	-	-	-	ko00000,ko03029,ko03110	-	-	-	GrpE
ZMO1_ZMO0017	264203.ZMO0017	0.0	924.0	COG0144@1|root,COG0144@2|Bacteria,1MWPE@1224|Proteobacteria,2TSIA@28211|Alphaproteobacteria,2K0U7@204457|Sphingomonadales	204457|Sphingomonadales	J	Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family	-	-	2.1.1.176	ko:K03500	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	Methyltr_RsmB-F,NusB
ZMO1_ZMO0018	264203.ZMO0018	3.17e-157	441.0	COG0036@1|root,COG0036@2|Bacteria,1MUZM@1224|Proteobacteria,2TQKR@28211|Alphaproteobacteria,2K1ZB@204457|Sphingomonadales	204457|Sphingomonadales	G	Belongs to the ribulose-phosphate 3-epimerase family	rpe	-	5.1.3.1	ko:K01783	ko00030,ko00040,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00040,map00710,map01100,map01110,map01120,map01130,map01200,map01230	M00004,M00007	R01529	RC00540	ko00000,ko00001,ko00002,ko01000	-	-	-	Ribul_P_3_epim
ZMO1_ZMO0019	264203.ZMO0019	0.0	1200.0	COG5360@1|root,COG5360@2|Bacteria,1MUJ4@1224|Proteobacteria,2TR5G@28211|Alphaproteobacteria,2K1RQ@204457|Sphingomonadales	204457|Sphingomonadales	S	Heparinase	-	-	-	-	-	-	-	-	-	-	-	-	Hepar_II_III
ZMO1_ZMO0020	264203.ZMO0020	1.72e-141	399.0	COG1556@1|root,COG1556@2|Bacteria,1R7UG@1224|Proteobacteria,2U12C@28211|Alphaproteobacteria,2KASA@204457|Sphingomonadales	204457|Sphingomonadales	S	Pfam:DUF162	-	-	-	ko:K00782	-	-	-	-	ko00000	-	-	-	LUD_dom
ZMO1_ZMO0021	264203.ZMO0021	0.0	969.0	COG1139@1|root,COG1139@2|Bacteria,1MV6J@1224|Proteobacteria,2TT1X@28211|Alphaproteobacteria,2K1ZK@204457|Sphingomonadales	204457|Sphingomonadales	C	Domain of unknown function (DUF3390)	-	-	-	ko:K18929	-	-	-	-	ko00000	-	-	-	DUF3390,Fer4_8,LUD_dom
ZMO1_ZMO0022	264203.ZMO0022	9.1e-184	510.0	COG0247@1|root,COG0247@2|Bacteria,1MWTK@1224|Proteobacteria,2TR9H@28211|Alphaproteobacteria,2K3M8@204457|Sphingomonadales	204457|Sphingomonadales	C	Cysteine-rich domain	-	-	-	ko:K11473,ko:K18928	ko00630,ko01100,ko01110,ko01120,ko01130,map00630,map01100,map01110,map01120,map01130	-	R00475	RC00042	ko00000,ko00001	-	-	-	CCG,Fer4_7
ZMO1_ZMO0023	264203.ZMO0023	2.58e-103	299.0	COG1522@1|root,COG1522@2|Bacteria,1RHI9@1224|Proteobacteria,2U59J@28211|Alphaproteobacteria,2K4VE@204457|Sphingomonadales	204457|Sphingomonadales	K	Lrp/AsnC ligand binding domain	-	-	-	-	-	-	-	-	-	-	-	-	AsnC_trans_reg,HTH_24,HTH_AsnC-type
ZMO1_ZMO0025	264203.ZMO0025	1.73e-219	605.0	COG0697@1|root,COG0697@2|Bacteria,1MW7P@1224|Proteobacteria,2U22A@28211|Alphaproteobacteria,2K3AH@204457|Sphingomonadales	204457|Sphingomonadales	EG	EamA-like transporter family	-	-	-	-	-	-	-	-	-	-	-	-	EamA
ZMO1_ZMO0026	264203.ZMO0026	1.96e-43	158.0	COG0790@1|root,COG0790@2|Bacteria,1MWPA@1224|Proteobacteria,2TR2B@28211|Alphaproteobacteria	28211|Alphaproteobacteria	C	Sel1 domain protein repeat-containing protein	-	-	-	ko:K07126	-	-	-	-	ko00000	-	-	-	Sel1
ZMO1_ZMO0027	264203.ZMO0027	0.0	1028.0	COG0138@1|root,COG0138@2|Bacteria,1MUDQ@1224|Proteobacteria,2TRMY@28211|Alphaproteobacteria,2K0R5@204457|Sphingomonadales	204457|Sphingomonadales	F	Bifunctional purine biosynthesis protein PurH	purH	-	2.1.2.3,3.5.4.10	ko:K00602	ko00230,ko00670,ko01100,ko01110,ko01130,ko01523,map00230,map00670,map01100,map01110,map01130,map01523	M00048	R01127,R04560	RC00026,RC00263,RC00456	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	AICARFT_IMPCHas,MGS
ZMO1_ZMO0028	264203.ZMO0028	1.42e-217	600.0	COG1715@1|root,COG1715@2|Bacteria,1Q2VY@1224|Proteobacteria,2TVMP@28211|Alphaproteobacteria,2K7X0@204457|Sphingomonadales	204457|Sphingomonadales	L	PFAM restriction endonuclease	-	-	-	ko:K07448	-	-	-	-	ko00000,ko02048	-	-	-	Mrr_N,Mrr_cat
ZMO1_ZMO0029	264203.ZMO0029	2.61e-97	318.0	COG0790@1|root,COG0790@2|Bacteria,1MWPA@1224|Proteobacteria,2TR2B@28211|Alphaproteobacteria	28211|Alphaproteobacteria	C	Sel1 domain protein repeat-containing protein	-	-	-	ko:K07126	-	-	-	-	ko00000	-	-	-	Sel1
ZMO1_ZMO0030	264203.ZMO0030	6.47e-95	276.0	COG0346@1|root,COG0346@2|Bacteria,1RH3J@1224|Proteobacteria,2U9J3@28211|Alphaproteobacteria	28211|Alphaproteobacteria	E	glyoxalase bleomycin resistance protein dioxygenase	-	-	4.4.1.5	ko:K01759	ko00620,map00620	-	R02530	RC00004,RC00740	ko00000,ko00001,ko01000	-	-	-	Glyoxalase
ZMO1_ZMO0031	555217.Zmob_0772	0.0	1514.0	COG1629@1|root,COG1629@2|Bacteria,1QTVF@1224|Proteobacteria,2TXF4@28211|Alphaproteobacteria,2KEHT@204457|Sphingomonadales	204457|Sphingomonadales	P	TonB-dependent receptor plug	-	-	-	-	-	-	-	-	-	-	-	-	Plug,TonB_dep_Rec
ZMO1_ZMO0033	264203.ZMO0033	1.48e-111	319.0	COG2983@1|root,COG2983@2|Bacteria,1RHMX@1224|Proteobacteria,2U99S@28211|Alphaproteobacteria,2K4JE@204457|Sphingomonadales	204457|Sphingomonadales	S	Belongs to the UPF0260 family	-	-	-	ko:K09160	-	-	-	-	ko00000	-	-	-	CxxCxxCC
ZMO1_ZMO0035	264203.ZMO0035	8.71e-111	322.0	COG0666@1|root,COG0666@2|Bacteria,1RFFD@1224|Proteobacteria,2U8T6@28211|Alphaproteobacteria,2K4S6@204457|Sphingomonadales	204457|Sphingomonadales	S	Ankyrin repeat	-	-	-	-	-	-	-	-	-	-	-	-	Ank,Ank_2,Ank_4,Ank_5
ZMO1_ZMO0036	264203.ZMO0036	1.54e-73	220.0	COG5447@1|root,COG5447@2|Bacteria,1N1KU@1224|Proteobacteria,2UFES@28211|Alphaproteobacteria,2K70S@204457|Sphingomonadales	204457|Sphingomonadales	S	Protein of unknown function (DUF1491)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1491
ZMO1_ZMO0037	264203.ZMO0037	2.24e-106	306.0	COG1762@1|root,COG1762@2|Bacteria,1RD0E@1224|Proteobacteria,2U7B0@28211|Alphaproteobacteria,2K6E5@204457|Sphingomonadales	204457|Sphingomonadales	G	PTS IIA-like nitrogen-regulatory protein PtsN	ptsN	-	-	ko:K02806	ko02060,map02060	-	-	-	ko00000,ko00001,ko01000,ko02000	-	-	-	PTS_EIIA_2
ZMO1_ZMO0038	264203.ZMO0038	2.34e-140	396.0	COG1544@1|root,COG1544@2|Bacteria,1MZHW@1224|Proteobacteria,2TV3J@28211|Alphaproteobacteria,2K2CA@204457|Sphingomonadales	204457|Sphingomonadales	J	Required for dimerization of active 70S ribosomes into 100S ribosomes in stationary phase	hpf	-	-	-	-	-	-	-	-	-	-	-	Ribosom_S30AE_C,Ribosomal_S30AE
ZMO1_ZMO0039	264203.ZMO0039	7.47e-172	479.0	COG0847@1|root,COG0847@2|Bacteria,1MV8Z@1224|Proteobacteria,2TTFF@28211|Alphaproteobacteria,2K06H@204457|Sphingomonadales	204457|Sphingomonadales	L	DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. The epsilon subunit contain the editing function and is a proofreading 3'-5' exonuclease	dnaQ	-	2.7.7.7	ko:K02342	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	RNase_T
ZMO1_ZMO0040	264203.ZMO0040	6.99e-136	385.0	COG0237@1|root,COG0237@2|Bacteria,1RCXT@1224|Proteobacteria,2U765@28211|Alphaproteobacteria,2K3YB@204457|Sphingomonadales	204457|Sphingomonadales	H	Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A	coaE	-	2.7.1.24	ko:K00859	ko00770,ko01100,map00770,map01100	M00120	R00130	RC00002,RC00078	ko00000,ko00001,ko00002,ko01000	-	-	-	CoaE
ZMO1_ZMO0041	264203.ZMO0041	8.18e-210	580.0	COG0169@1|root,COG0169@2|Bacteria,1MVH4@1224|Proteobacteria,2TS99@28211|Alphaproteobacteria,2K1U1@204457|Sphingomonadales	204457|Sphingomonadales	E	Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)	aroE	-	1.1.1.25	ko:K00014	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R02413	RC00206	ko00000,ko00001,ko00002,ko01000	-	-	-	Shikimate_DH,Shikimate_dh_N
ZMO1_ZMO0043	264203.ZMO0043	1.78e-134	381.0	COG0424@1|root,COG0424@2|Bacteria,1RDA9@1224|Proteobacteria,2U9H5@28211|Alphaproteobacteria,2K2S3@204457|Sphingomonadales	204457|Sphingomonadales	D	Maf-like protein	-	-	-	ko:K06287	-	-	-	-	ko00000	-	-	-	Maf
ZMO1_ZMO0044	264203.ZMO0044	1.08e-197	573.0	COG0790@1|root,COG0790@2|Bacteria,1N3FX@1224|Proteobacteria,2U9I2@28211|Alphaproteobacteria	28211|Alphaproteobacteria	S	Sel1 domain protein repeat-containing protein	enhC	-	-	ko:K07126	-	-	-	-	ko00000	-	-	-	Sel1
ZMO1_ZMO0047	264203.ZMO0047	1.71e-138	392.0	COG1280@1|root,COG1280@2|Bacteria,1RET0@1224|Proteobacteria,2TT5R@28211|Alphaproteobacteria,2K6KE@204457|Sphingomonadales	204457|Sphingomonadales	E	Lysine exporter protein LysE YggA	-	-	-	-	-	-	-	-	-	-	-	-	LysE
ZMO1_ZMO0050	264203.ZMO0050	6.2e-210	581.0	COG0583@1|root,COG0583@2|Bacteria,1MWVU@1224|Proteobacteria,2TQS4@28211|Alphaproteobacteria,2K0QF@204457|Sphingomonadales	204457|Sphingomonadales	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
ZMO1_ZMO0052	264203.ZMO0052	7.88e-267	731.0	COG2807@1|root,COG2807@2|Bacteria,1MXGT@1224|Proteobacteria,2TVC9@28211|Alphaproteobacteria,2K4S5@204457|Sphingomonadales	204457|Sphingomonadales	P	Major Facilitator Superfamily	-	-	-	ko:K03449	-	-	-	-	ko00000,ko02000	2.A.1.17	-	-	MFS_1
ZMO1_ZMO0053	264203.ZMO0053	1.15e-192	534.0	COG2267@1|root,COG2267@2|Bacteria,1P7JV@1224|Proteobacteria,2TUWY@28211|Alphaproteobacteria,2K70A@204457|Sphingomonadales	204457|Sphingomonadales	I	Serine aminopeptidase, S33	-	-	3.1.1.24	ko:K01055	ko00362,ko01100,ko01120,ko01220,map00362,map01100,map01120,map01220	M00568	R02991	RC00825	ko00000,ko00001,ko00002,ko01000	-	-	-	Abhydrolase_1
ZMO1_ZMO0054	264203.ZMO0054	1.03e-112	324.0	COG1846@1|root,COG1846@2|Bacteria,1RFUJ@1224|Proteobacteria,2U84N@28211|Alphaproteobacteria,2K814@204457|Sphingomonadales	204457|Sphingomonadales	K	helix_turn_helix multiple antibiotic resistance protein	-	-	-	-	-	-	-	-	-	-	-	-	MarR_2
ZMO1_ZMO0055	264203.ZMO0055	1.03e-171	481.0	COG0730@1|root,COG0730@2|Bacteria,1RCVI@1224|Proteobacteria,2U5XM@28211|Alphaproteobacteria,2K04W@204457|Sphingomonadales	204457|Sphingomonadales	S	membrane transporter protein	-	-	-	ko:K07090	-	-	-	-	ko00000	-	-	-	TauE
ZMO1_ZMO0056	264203.ZMO0056	0.0	1187.0	COG0449@1|root,COG0449@2|Bacteria,1MW4K@1224|Proteobacteria,2TQPM@28211|Alphaproteobacteria,2K017@204457|Sphingomonadales	204457|Sphingomonadales	M	Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source	glmS	-	2.6.1.16	ko:K00820	ko00250,ko00520,ko01100,ko01130,ko04931,map00250,map00520,map01100,map01130,map04931	-	R00768	RC00010,RC00163,RC02752	ko00000,ko00001,ko01000,ko01002	-	-	-	GATase_6,SIS
ZMO1_ZMO0057	264203.ZMO0057	1.49e-127	363.0	2DF54@1|root,32U4N@2|Bacteria,1NMP3@1224|Proteobacteria,2USVQ@28211|Alphaproteobacteria	28211|Alphaproteobacteria	S	Bacterial PH domain	-	-	-	-	-	-	-	-	-	-	-	-	SHOCT,bPH_3
ZMO1_ZMO0059	264203.ZMO0059	2e-264	725.0	COG1929@1|root,COG1929@2|Bacteria,1MVG9@1224|Proteobacteria,2U21E@28211|Alphaproteobacteria	28211|Alphaproteobacteria	G	Belongs to the glycerate kinase type-1 family	glxK	-	2.7.1.165	ko:K00865	ko00260,ko00561,ko00630,ko01100,ko01120,ko01130,map00260,map00561,map00630,map01100,map01120,map01130	-	R08572	RC00002,RC00428	ko00000,ko00001,ko01000	-	-	-	Gly_kinase
ZMO1_ZMO0061	264203.ZMO0061	0.0	872.0	2DB79@1|root,2Z7K9@2|Bacteria,1NR0Z@1224|Proteobacteria,2UC90@28211|Alphaproteobacteria,2KDDM@204457|Sphingomonadales	204457|Sphingomonadales	S	Histidine phosphatase superfamily (branch 2)	-	-	3.1.3.2,3.1.3.26	ko:K01093	ko00562,ko00740,ko01100,map00562,map00740,map01100	-	R00548,R03372	RC00017,RC00078	ko00000,ko00001,ko01000	-	-	-	His_Phos_2
ZMO1_ZMO0062	264203.ZMO0062	5.25e-232	638.0	COG0667@1|root,COG0667@2|Bacteria,1MV2Y@1224|Proteobacteria,2TSKV@28211|Alphaproteobacteria,2K0YB@204457|Sphingomonadales	204457|Sphingomonadales	C	PFAM aldo keto reductase	-	-	-	-	-	-	-	-	-	-	-	-	Aldo_ket_red
ZMO1_ZMO0064	264203.ZMO0064	0.0	1130.0	COG3659@1|root,COG3659@2|Bacteria,1QMC3@1224|Proteobacteria,2TU5Q@28211|Alphaproteobacteria,2K193@204457|Sphingomonadales	204457|Sphingomonadales	M	Carbohydrate-selective porin, OprB family	-	-	-	ko:K07267	-	-	-	-	ko00000,ko02000	1.B.19.1	-	-	OprB
ZMO1_ZMO0068	264203.ZMO0068	9.56e-73	238.0	COG0790@1|root,COG0790@2|Bacteria,1MWPA@1224|Proteobacteria,2TR2B@28211|Alphaproteobacteria,2KCK5@204457|Sphingomonadales	204457|Sphingomonadales	S	PFAM Sel1 domain protein repeat-containing protein	-	-	-	ko:K07126	-	-	-	-	ko00000	-	-	-	Sel1
ZMO1_ZMO0069	264203.ZMO0069	1.67e-95	278.0	COG3498@1|root,COG3498@2|Bacteria	2|Bacteria	S	Phage tail tube protein FII	fII	-	-	ko:K06908	-	-	-	-	ko00000	-	-	-	Phage_tube
ZMO1_ZMO0070	264203.ZMO0070	1.7e-154	433.0	COG2999@1|root,COG2999@2|Bacteria,1N9FA@1224|Proteobacteria,2UFYF@28211|Alphaproteobacteria	28211|Alphaproteobacteria	O	Glutaredoxin 2, C terminal domain	-	-	-	ko:K03675	-	-	-	-	ko00000,ko03110	-	-	-	GST_N_3,Glutaredoxin2_C
ZMO1_ZMO0072	264203.ZMO0072	0.0	943.0	COG2133@1|root,COG2133@2|Bacteria,1MVK5@1224|Proteobacteria,2TRN9@28211|Alphaproteobacteria,2K068@204457|Sphingomonadales	204457|Sphingomonadales	G	sorbosone	-	-	-	-	-	-	-	-	-	-	-	-	GSDH
ZMO1_ZMO0073	264203.ZMO0073	6.76e-214	590.0	COG1253@1|root,COG1253@2|Bacteria,1MV3P@1224|Proteobacteria,2TVFA@28211|Alphaproteobacteria,2K03F@204457|Sphingomonadales	204457|Sphingomonadales	S	COG1253 Hemolysins and related proteins containing CBS domains	-	-	-	-	-	-	-	-	-	-	-	-	CBS,CorC_HlyC
ZMO1_ZMO0074	264203.ZMO0074	1.57e-124	354.0	COG0319@1|root,COG0319@2|Bacteria,1MZ67@1224|Proteobacteria,2UBXV@28211|Alphaproteobacteria,2K4EE@204457|Sphingomonadales	204457|Sphingomonadales	J	Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA	ybeY	-	-	ko:K07042	-	-	-	-	ko00000,ko03009	-	-	-	UPF0054
ZMO1_ZMO0075	264203.ZMO0075	5.45e-257	705.0	COG1702@1|root,COG1702@2|Bacteria,1MVDV@1224|Proteobacteria,2TRV3@28211|Alphaproteobacteria,2K21F@204457|Sphingomonadales	204457|Sphingomonadales	T	Phosphate starvation-inducible protein PhoH	-	-	-	ko:K06217	-	-	-	-	ko00000	-	-	-	PhoH
ZMO1_ZMO0077	264203.ZMO0077	0.0	880.0	COG0621@1|root,COG0621@2|Bacteria,1MURS@1224|Proteobacteria,2TQN6@28211|Alphaproteobacteria,2K1NH@204457|Sphingomonadales	204457|Sphingomonadales	J	Catalyzes the methylthiolation of N6- (dimethylallyl)adenosine (i(6)A), leading to the formation of 2- methylthio-N6-(dimethylallyl)adenosine (ms(2)i(6)A) at position 37 in tRNAs that read codons beginning with uridine	miaB	-	2.8.4.3	ko:K06168	-	-	R10645,R10646,R10647	RC00003,RC00980,RC03221,RC03222	ko00000,ko01000,ko03016	-	-	-	Radical_SAM,TRAM,UPF0004
ZMO1_ZMO0078	264203.ZMO0078	6.9e-124	353.0	COG0835@1|root,COG0835@2|Bacteria,1RD1W@1224|Proteobacteria,2U7P9@28211|Alphaproteobacteria,2K40J@204457|Sphingomonadales	204457|Sphingomonadales	NT	Two component signalling adaptor domain	-	-	-	ko:K03408	ko02020,ko02030,map02020,map02030	-	-	-	ko00000,ko00001,ko02035	-	-	-	CheW
ZMO1_ZMO0079	264203.ZMO0079	2.46e-81	241.0	COG0745@1|root,COG0745@2|Bacteria,1RHDD@1224|Proteobacteria,2UA4W@28211|Alphaproteobacteria,2K5CB@204457|Sphingomonadales	204457|Sphingomonadales	T	response regulator	-	-	-	ko:K03413	ko02020,ko02030,map02020,map02030	M00506	-	-	ko00000,ko00001,ko00002,ko02022,ko02035	-	-	-	Response_reg
ZMO1_ZMO0080	264203.ZMO0080	8.66e-130	368.0	COG1871@1|root,COG1871@2|Bacteria,1RDDB@1224|Proteobacteria,2U864@28211|Alphaproteobacteria,2K45D@204457|Sphingomonadales	204457|Sphingomonadales	NT	Probably deamidates glutamine residues to glutamate on methyl-accepting chemotaxis receptors (MCPs), playing an important role in chemotaxis	cheD	-	3.5.1.44	ko:K03411	ko02030,map02030	-	-	-	ko00000,ko00001,ko01000,ko02035	-	-	-	CheD
