,gene_name,accession,start,end,strand,gene_product,COG,regulator,uniprot,operon,kegg_maps,EC_number,ZM4_locus,aerobic_essential,anaerobic_essential,interpro_annotation,anaero_xylose_model_flux,anaero_glucose_model_flux,aero_xylose_model_flux,aero_glucose_model_flux,anaero_xylose_model_growth_perc_change,anaero_glucose_model_growth_perc_change,aero_xylose_model_growth_perc_change,aero_glucose_model_growth_perc_change,FIMO_regulators,LDI_early_glucose_fold_change,LDI_late_glucose_fold_change,LDI_early_xylose_fold_change,LDI_late_xylose_fold_change,no_LDI_early_glucose_fold_change,no_LDI_late_glucose_fold_change,no_LDI_early_xylose_fold_change,no_LDI_late_xylose_fold_change,chromosome_id,iMs
ZCP4_0018,ZCP4_0018,CP006818.1,20616,21527,+,transcriptional regulator,Transcription,"ZCP4_0018,ZCP4_0128,ZCP4_1382,ZCP4_1718",H2VFM3,Op103,,,ZMO1_ZMO1336,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,"['CsrR_Streptococcus_pyogenes', 'NikR_Helicobacter_pylori']",1.0,1.01433318630152,1.1731682573976636,1.4431738533373628,1.0,0.9329797577708178,1.1694184315730267,1.3104468093315316,CP006818.1,
ZCP4_0019,ZCP4_0019,CP006818.1,21668,22270,-,NAD(P)H:quinone oxidoreductase%2C type IV,Function unknown,,,Op109,map00130;map01110,1.6.5.2,ZMO1_ZMO1335,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,[],1.0,1.3221705420919518,1.6196904925641056,1.5835637147640065,1.0,1.130952699198478,1.1171098916863984,1.1239724102995985,CP006818.1,"['membrane_cobalmin', 'noise_4']"
ZCP4_0020,ZCP4_0020,CP006818.1,22550,23164,-,hypothetical protein,Function unknown,"ZCP4_0018,ZCP4_0812,ZCP4_0900",,Op112,,,ZMO1_ZMO1334,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'NikR_Helicobacter_pylori']",1.0,1.6102196785619214,1.49633016875743,0.5722074110707671,1.0,1.4272673154403084,1.1949973320402598,0.5076526004859647,CP006818.1,"['cell_cycle', 'membrane_cobalmin']"
ZCP4_0021,ZCP4_0021,CP006818.1,23882,26695,-,small-conductance mechanosensitive channel,Cell wall/membrane/envelope biogenesis,,,Op119,,,ZMO1_ZMO1331,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,[],1.0,0.8505927662565886,0.855530343625728,1.0386253075795255,1.0,0.74671643361291,0.8154679956348875,0.9391239375193547,CP006818.1,
ZCP4_0022,nadK,CP006818.1,27020,27796,-,putative sugar kinase,Carbohydrate transport and metabolism,,Q5NMV7,Op136,map00760;map01100,2.7.1.23,ZMO1_ZMO1329,-2.20501024784127,-2.63393064875181,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",0.0010402479823332,0.0010202989951729,0.0019114577869052,0.002043347209035,7.42084606970586e-13,3.064784953266365e-11,1.1917887906949456e-15,3.866263622441123e-12,[],1.0,0.9987620953441372,0.9392029074663398,0.8971639345311199,1.0,1.0527726529635029,1.0026094498251017,0.9740158612058404,CP006818.1,
ZCP4_0023,ZCP4_0023,CP006818.1,27849,28655,-,rRNA methylase,"Translation, ribosomal structure and biogenesis",ZCP4_0900,Q5NMV8,Op141,,,ZMO1_ZMO1328,-1.90987116682685,-2.54688885376259,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.936150516083254,0.9141653063659784,1.155241249082319,1.0,0.977794775124843,0.9779087035128772,1.2966786355766504,CP006818.1,
ZCP4_0024,ZCP4_0024,CP006818.1,28673,28945,-,phosphotransferase system HPr (HPr) family protein,Carbohydrate transport and metabolism,ZCP4_1382,Q5NMV9,Op145,,,ZMO1_ZMO1327,-1.72376188606733,-2.46245460013495,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.8412398254932448,0.7814538054561245,0.9533960405089992,1.0,0.8874053253085753,0.8703401987051002,1.0275545684634295,CP006818.1,
ZCP4_0025,ZCP4_0025,CP006818.1,28942,29346,-,phosphotransferase system%2C mannose/fructose-specific component IIA,Carbohydrate transport and metabolism,,Q5NMW0,Op147,map00051;map00520;map01100;map02060,2.7.1.191,ZMO1_ZMO1326,0.0,-2.01332704164956,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,1.2166947104034764,1.1546839385757175,1.3195313259937802,1.0,1.1036164403530424,1.2176510673726644,1.533605930129024,CP006818.1,
ZCP4_0026,ZCP4_0026,CP006818.1,29354,30325,-,putative P-loop-containing kinase,Signal transduction mechanisms,ZCP4_1387,Q5NMW1,Op150,,,ZMO1_ZMO1325,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,1.256002820911625,1.3935913790637855,1.4097926164057362,1.0,1.2198092304409904,1.3826059959591337,1.7251993508199386,CP006818.1,
ZCP4_0027,ZCP4_0027,CP006818.1,30348,30839,-,Hpr(Ser) kinase/phosphatase,Signal transduction mechanisms,,,Op156,,,ZMO1_ZMO1324,0.0,0.0,I-superfamily conotoxin signature.;SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.8657068740040577,0.885277081904726,0.8455754181748076,1.0,0.9654951790138944,0.8773205102286823,0.94404985954569,CP006818.1,
ZCP4_0028,ZCP4_0028,CP006818.1,30982,32619,-,signal transduction histidine kinase,Signal transduction mechanisms,,,Op160,map02020,2.7.13.3,ZMO1_ZMO1323,0.0,0.0,4Fe-4S ferredoxin-type iron-sulfur binding region signature.;SignalP-TM,,,,,,,,,['NikR_Helicobacter_pylori'],,,,,,,,,CP006818.1,['noise_5']
ZCP4_0029,ZCP4_0029,CP006818.1,32588,33295,-,two component transcriptional regulator%2C winged helix family,Signal transduction mechanisms,,Q5NMW4,Op163,map02020,,ZMO1_ZMO1323,0.0,0.0,2Fe-2S ferredoxin-type iron-sulfur binding region signature.;SignalP-TM;SignalP-noTM,,,,,,,,,['NikR_Helicobacter_pylori'],1.0,0.9739439570488913,1.032430910600108,1.1393535596636826,1.0,0.9324512842429332,1.0352047074910111,1.137084647847015,CP006818.1,['noise_5']
ZCP4_0030,guaB,CP006818.1,33572,35029,+,inosine-5'-monophosphate dehydrogenase,Nucleotide transport and metabolism,,Q5NMW5,Op167,map00230;map00983;map01100;map01110,1.1.1.205,ZMO1_ZMO1321,0.0,0.0,SignalP-TM;SignalP-noTM,0.1347590672600934,0.1321747729820199,0.2476200606429297,0.2647056938847942,4.702574262159901e-16,1.00991026249378e-14,9.822876738431113e-16,0.0,['NikR_Helicobacter_pylori'],1.0,0.8221341108959803,0.816382824283766,0.8721449599491801,1.0,0.8321682215458127,0.8454581802435169,0.9287753705913258,CP006818.1,['translation_1']
ZCP4_0031,ZCP4_0031,CP006818.1,35065,36291,+,tRNA/rRNA cytosine-C5-methylase,"Translation, ribosomal structure and biogenesis",ZCP4_1387,Q5NMW6,Op172,,2.1.1.176,ZMO1_ZMO1320,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,[],1.0,0.8406663620300123,0.7811786428152501,0.760978646062416,1.0,0.8122494454685987,0.7606563702273172,0.8348938067798455,CP006818.1,
ZCP4_0032,ZCP4_0032,CP006818.1,36500,37090,+,Tetratricopeptide repeat protein,Function unknown,ZCP4_1046,,Op174,,,ZMO1_ZMO1319,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.9890800143390448,0.8592329087776808,0.5371627136897001,1.0,1.0249190635888137,0.7866599601791374,0.5529474579216026,CP006818.1,
ZCP4_0033,ZCP4_0033,CP006818.1,37594,38316,+,hypothetical protein,Nucleotide transport and metabolism,"ZCP4_0375,ZCP4_0900,ZCP4_1718",Q5NMW8,Op175,,,ZMO1_ZMO1318,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,0.8730511613213153,0.9327070560869786,1.0053696108234491,1.0,0.8631357181128663,0.952891154408584,1.0654441933967376,CP006818.1,
ZCP4_0034,ZCP4_0034,CP006818.1,38321,39091,+,thymidylate kinase,Nucleotide transport and metabolism,,,Op176,,,ZMO1_ZMO1317,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.9401941696238773,0.9410994584028236,0.9676602053679833,1.0,0.8290162639107115,0.811668643736281,0.98584234831922,CP006818.1,
ZCP4_0035,ZCP4_0035,CP006818.1,39177,40511,+,membrane protein involved in the export of O-antigen and teichoic acid,Function unknown,ZCP4_0375,,Op177,,,ZMO1_ZMO1316,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.6242730002190718,0.6732253808845499,0.6103130134052307,1.0,1.8122676501141657,0.8515904868854629,0.5471061657064377,CP006818.1,
ZCP4_0036,ZCP4_0036,CP006818.1,40528,41397,+,hypothetical protein,No COG annotation,"ZCP4_0375,ZCP4_1387,ZCP4_1465",,Op178,,,ZMO1_ZMO1315,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,[],1.0,0.885205029306005,0.9616552050437958,1.081486676265674,1.0,0.846818643683824,0.9250810203083768,1.0642731721744247,CP006818.1,
ZCP4_0037,rsmA,CP006818.1,41409,42245,-,dimethyladenosine transferase,"Translation, ribosomal structure and biogenesis",,Q5NMX2,Op179,,2.1.1.182,ZMO1_ZMO1314,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,[],1.0,0.730460987929173,0.7134467999689776,0.972232664799142,1.0,0.7286872767775757,0.7675311885947148,1.0117817037253496,CP006818.1,
ZCP4_0038,pdxA,CP006818.1,42256,43263,-,4-hydroxythreonine-4-phosphate dehydrogenase,Coenzyme transport and metabolism,,Q5NMX3,Op180,map00750;map01100,1.1.1.262,ZMO1_ZMO1313,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",0.0,0.0,0.0,0.0,0.9999999999999616,0.9999999999998994,0.9999999999999732,1.000000000000001,[],1.0,0.9611532529110092,0.9957991823157292,1.0099606882198342,1.0,0.9599201932705356,0.944402470280038,0.9263437028612886,CP006818.1,
ZCP4_0039,ZCP4_0039,CP006818.1,43305,44720,-,periplasmic chaperone for outer membrane proteins SurA,"Post-translational modification, protein turnover, and chaperones",ZCP4_0900,,Op181,,5.2.1.8,ZMO1_ZMO1312,0.0,-1.37207183540888,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,[],1.0,0.9785987816478195,0.7986554375431618,0.4350719079206229,1.0,0.9182568845376596,0.7735810083402097,0.408613836801893,CP006818.1,
ZCP4_0040,lptD,CP006818.1,44839,47163,-,organic solvent tolerance protein OstA,Cell wall/membrane/envelope biogenesis,,Q5NMX5,Op182,,,ZMO1_ZMO1311,-1.93970391562721,-2.28795396764416,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.6378436837793049,0.6521819297351155,0.6669886105045444,1.0,0.5191385249816993,0.5224922865595414,0.5844349865566558,CP006818.1,
ZCP4_0041,pepA,CP006818.1,47548,49032,+,leucyl aminopeptidase,Amino acid transport and metabolism,,Q5NMX7,Op183,map00480;map01100,3.4.11.1,ZMO1_ZMO1309,0.0,0.0,SignalP-TM;SignalP-noTM,0.0,0.0,0.0,0.0,0.9999999999999823,0.9999999999998888,0.9999999999999684,0.9999999999999892,[],1.0,1.2775171196340287,1.4647829640558965,1.6578524031363906,1.0,1.336485608618826,1.489020450081035,1.5815192037729155,CP006818.1,
ZCP4_0042,ZCP4_0042,CP006818.1,49044,49490,+,DNA polymerase III%2C chi subunit,"Replication, recombination and repair",,Q5NMX8,Op184,map00230;map00240;map01100;map03030;map03430;map03440,2.7.7.7,ZMO1_ZMO1308,-1.23125038411077,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,1.0026633356443877,0.99504262811202,1.571037860155536,1.0,1.18557237710705,1.3515961028004988,1.8035241525618568,CP006818.1,
ZCP4_0043,ZCP4_0043,CP006818.1,49583,51106,-,fumarase%2C class I%2C homodimeric,Energy production and conversion,,,Op185,map00020;map00620;map00720;map01100;map01110;map01120;map01130;map01200,4.2.1.2,ZMO1_ZMO1307,0.0,0.0,SignalP-TM;SignalP-noTM,0.3332576777679601,0.3268667466990148,1.027287139972615,1.0981693264244612,0.997492523526165,0.9975404914995109,0.991824008347656,0.992006590397748,['NikR_Helicobacter_pylori'],1.0,0.7273572355357911,0.6760322403390384,0.641244332378048,1.0,0.6472825362045259,0.6027194027033547,0.6770729680085256,CP006818.1,['noise_5']
ZCP4_0044,ZCP4_0044,CP006818.1,51400,52149,+,hemolysin A,"Translation, ribosomal structure and biogenesis",,Q5NMY0,Op186,,"2.1.1.226,2.1.1.227",ZMO1_ZMO1306,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,['NikR_Helicobacter_pylori'],1.0,0.7616115316690424,0.6787727862290956,0.9050479254914388,1.0,0.8101953271301845,0.8144937541433401,0.9775294821488916,CP006818.1,
ZCP4_0045,ZCP4_0045,CP006818.1,52355,52570,+,hypothetical protein,Function unknown,ZCP4_0018,Q5NMY1,Op187,,,ZMO1_ZMO1305,0.0,0.0,"C-terminal region of a signal peptide.;Expansin, family-45 endoglucanase-like domain profile.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,[],1.0,1.6249178860973643,2.0183717150214937,1.7655641385455356,1.0,1.5103163234470578,1.7311685555307603,1.546199818787572,CP006818.1,
ZCP4_0046,ZCP4_0046,CP006818.1,52699,53208,+,hypothetical protein,Function unknown,"ZCP4_1387,ZCP4_1465,ZCP4_1585",Q5NMY2,Op188,,,ZMO1_ZMO1304,0.0,0.0,"C-terminal region of a signal peptide.;Expansin, family-45 endoglucanase-like domain profile.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,[],1.0,0.6129542112452964,0.5059136761477646,0.7267737756266157,1.0,0.5462587200704656,0.5999104259363762,0.7765560437392484,CP006818.1,
ZCP4_0047,proC,CP006818.1,53259,54113,+,pyrroline-5-carboxylate reductase,Amino acid transport and metabolism,,Q5NMY3,Op189,map00330;map01100;map01110;map01130;map01230,1.5.1.2,ZMO1_ZMO1303,0.0,0.0,Insulin-like growth factor-binding protein (IGFBP) N-terminal domain signature.;SignalP-TM;SignalP-noTM,0.2451214973895566,0.2404207667002268,0.4504112508536357,0.4814893526040086,0.9963156962928076,0.9963860953837462,0.996398724352104,0.9964795088107689,[],1.0,0.9963888775681888,0.9290618976881964,0.8477367037755341,1.0,1.0818521821901077,0.8787082174008173,0.8739923441899826,CP006818.1,
ZCP4_0048,ZCP4_0048,CP006818.1,54240,54890,-,lipoate-protein ligase B,Coenzyme transport and metabolism,,,Op190,map00785;map01100,2.3.1.181,ZMO1_ZMO1302,0.0,0.0,Insulin-like growth factor-binding protein (IGFBP) N-terminal domain signature.;SignalP-TM;SignalP-noTM,0.0,0.0,0.0,0.0,0.999999999999986,1.000000000000029,0.9999999999999742,0.9999999999999574,[],1.0,0.9746515356160556,1.0103249435540116,1.4036413885865713,1.0,0.8104116163005965,0.9042468546250058,1.0840711508301537,CP006818.1,
ZCP4_0049,ZCP4_0049,CP006818.1,55066,57483,-,outer membrane cobalamin receptor protein,Inorganic ion transport and metabolism,"ZCP4_0018,ZCP4_0128,ZCP4_0375,ZCP4_0523,ZCP4_0530,ZCP4_1194,ZCP4_1382,ZCP4_1718",Q5NMY8,Op191,,,ZMO1_ZMO1986,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,"['Cap37_Clostridium_acetobutylicum', 'CosR_Campylobacter_jejuni', 'CsrR_Streptococcus_pyogenes', 'Fur_Helicobacter_pylori', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",,,,,,,,,CP006818.1,"['membrane_cobalmin', 'transport_1']"
ZCP4_0050,ZCP4_0050,CP006818.1,58120,58878,+,hypothetical protein,No COG annotation,ZCP4_1387,,Op192,,,ZMO1_ZMO1296,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['Cap37_Clostridium_acetobutylicum', 'CosR_Campylobacter_jejuni', 'CsrR_Streptococcus_pyogenes', 'Fur_Helicobacter_pylori', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,0.3736399867446098,0.5414291641727588,0.7474873927949122,1.0,1.7648614069637598,1.220092915744136,0.7361872373309561,CP006818.1,
ZCP4_0051,queE,CP006818.1,58918,59571,-,organic radical activating enzyme,Coenzyme transport and metabolism,,Q5NMZ1,Op193,map00790;map01100,4.3.99.3,ZMO1_ZMO1295,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.6506285972228806,0.5608469247388695,0.5696200314604618,1.0,0.6800578943120454,0.6319827776024389,0.787349796646037,CP006818.1,
ZCP4_0052,ZCP4_0052,CP006818.1,59568,60521,-,putative sugar phosphate isomerase,Function unknown,,,Op194,map00520;map01100,4.2.1.126,ZMO1_ZMO1294,0.0,0.0,SignalP-TM;SignalP-noTM,0.0,5.59566288501494e-17,0.0,1.2647058553633027e-14,0.999999999999966,1.0000000000000546,0.9999999999999792,0.9999999999999826,"['CosR_Campylobacter_jejuni', 'NikR_Helicobacter_pylori']",1.0,0.7232579041152813,0.6772762820250012,0.6104894813195284,1.0,0.6671508256959261,0.5789117588790071,0.6327816225246667,CP006818.1,
ZCP4_0053,ZCP4_0053,CP006818.1,60766,60900,-,hypothetical protein,No COG annotation,,,Op195,,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'NikR_Helicobacter_pylori']",,,,,,,,,CP006818.1,['noise_5']
ZCP4_0054,ZCP4_0054,CP006818.1,61190,62800,+,carboxypeptidase C (cathepsin A),Amino acid transport and metabolism,"ZCP4_0018,ZCP4_0128,ZCP4_0210,ZCP4_0375,ZCP4_0523,ZCP4_0530",,Op196,,,ZMO1_ZMO1291,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'NikR_Helicobacter_pylori']",1.0,0.6176221837899339,0.5921990552774762,0.533474117936396,1.0,0.643428553086221,0.5475524522162776,0.5263823244902048,CP006818.1,['membrane_cobalmin']
ZCP4_0055,ZCP4_0055,CP006818.1,62993,63241,+,putative membrane protein,Function unknown,"ZCP4_0018,ZCP4_0265,ZCP4_0900,ZCP4_1718",Q5NMZ7,Op197,,,ZMO1_ZMO1289,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",,,,,,,,,CP006818.1,"['SG_15', 'ethanol_fermentation']"
ZCP4_0056,ZCP4_0056,CP006818.1,63349,64470,-,sugar phosphate permease,Amino acid transport and metabolism,,Q5NMZ8,Op198,,,ZMO1_ZMO1288,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,['NikR_Helicobacter_pylori'],,,,,,,,,CP006818.1,
ZCP4_0057,ZCP4_0057,CP006818.1,64876,65472,+,Membrane bound FAD containing D-sorbitol dehydrogenase,Function unknown,,,Op199,map00051,1.1.99.21,ZMO1_ZMO1286,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,['NikR_Helicobacter_pylori'],1.0,2.458211578376876,2.629024000703332,2.8124404452138,1.0,2.171410483709861,2.1952590275776136,3.0228039695339617,CP006818.1,['ethanol_fermentation']
